tensor(0.1779, device='cuda:0')
tensor(0.8262, device='cuda:0')
tensor(0.4148, device='cuda:0')
tensor(0.3715, device='cuda:0')
tensor(0.5392, device='cuda:0')
tensor(0.2309, device='cuda:0')
tensor(0.1577, device='cuda:0')
tensor(0.3254, device='cuda:0')
tensor(0.1946, device='cuda:0')
tensor(0.2081, device='cuda:0')
tensor(0.3155, device='cuda:0')
tensor(0.4606, device='cuda:0')
tensor(0.3975, device='cuda:0')
tensor(0.7103, device='cuda:0')
tensor(0.2818, device='cuda:0')
tensor(0.2463, device='cuda:0')
tensor(1.1287, device='cuda:0')
tensor(0.5644, device='cuda:0')
tensor(0.5516, device='cuda:0')
tensor(0.3311, device='cuda:0')
tensor(0.7493, device='cuda:0')
tensor(0.1695, device='cuda:0')
tensor(0.8783, device='cuda:0')
tensor(0.7875, device='cuda:0')
tensor(0.3332, device='cuda:0')
tensor(0.6306, device='cuda:0')
tensor(0.5552, device='cuda:0')
tensor(0.3756, device='cuda:0')
tensor(0.2523, device='cuda:0')
tensor(0.6059, device='cuda:0')
tensor(0.8238, device='cuda:0')
tensor(0.3216, device='cuda:0')
tensor(0.4064, device='cuda:0')
tensor(0.2334, device='cuda:0')
tensor(0.4453, device='cuda:0')
tensor(0.4043, device='cuda:0')
tensor(0.4919, device='cuda:0')
tensor(0.4315, device='cuda:0')
tensor(0.4802, device='cuda:0')
tensor(0.4268, device='cuda:0')
tensor(0.3001, device='cuda:0')
tensor(0.3611, device='cuda:0')
tensor(0.3582, device='cuda:0')
tensor(0.4029, device='cuda:0')
tensor(0.0967, device='cuda:0')
tensor(0.7307, device='cuda:0')
tensor(0.1847, device='cuda:0')
tensor(0.5004, device='cuda:0')
tensor(0.3298, device='cuda:0')
tensor(0.7436, device='cuda:0')
tensor(0.4541, device='cuda:0')
tensor(0.1961, device='cuda:0')
tensor(0.0898, device='cuda:0')
tensor(0.2874, device='cuda:0')
tensor(0.7912, device='cuda:0')
tensor(0.4320, device='cuda:0')
tensor(0.3674, device='cuda:0')
tensor(0.1333, device='cuda:0')
tensor(0.3975, device='cuda:0')
tensor(0.5824, device='cuda:0')
tensor(0.3255, device='cuda:0')
tensor(0.3789, device='cuda:0')
tensor(0.2021, device='cuda:0')
tensor(0.5110, device='cuda:0')
tensor(0.4925, device='cuda:0')
tensor(0.3246, device='cuda:0')
tensor(0.4799, device='cuda:0')
tensor(0.2910, device='cuda:0')
tensor(0.7752, device='cuda:0')
tensor(0.2862, device='cuda:0')
