tensor(0.0736, device='cuda:0')
tensor(0.0714, device='cuda:0')
tensor(0.0272, device='cuda:0')
tensor(0.3661, device='cuda:0')
tensor(0.3063, device='cuda:0')
tensor(0.0391, device='cuda:0')
tensor(0.0347, device='cuda:0')
tensor(0.3093, device='cuda:0')
tensor(0.0734, device='cuda:0')
tensor(0.3240, device='cuda:0')
tensor(0.1358, device='cuda:0')
tensor(0.3315, device='cuda:0')
tensor(0.0958, device='cuda:0')
tensor(0.1977, device='cuda:0')
tensor(0.2353, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.0816, device='cuda:0')
tensor(0.2410, device='cuda:0')
tensor(0.3228, device='cuda:0')
tensor(0.0809, device='cuda:0')
tensor(1.5684, device='cuda:0')
tensor(1.0722, device='cuda:0')
tensor(0.1167, device='cuda:0')
tensor(0.2932, device='cuda:0')
tensor(0.4731, device='cuda:0')
tensor(0.9871, device='cuda:0')
tensor(0.3324, device='cuda:0')
tensor(0.2475, device='cuda:0')
tensor(0.1546, device='cuda:0')
tensor(0.5295, device='cuda:0')
tensor(0.2997, device='cuda:0')
tensor(0.1261, device='cuda:0')
tensor(0.6179, device='cuda:0')
tensor(0.3930, device='cuda:0')
tensor(0.2862, device='cuda:0')
tensor(0.2124, device='cuda:0')
tensor(0.1242, device='cuda:0')
tensor(0.2033, device='cuda:0')
tensor(0.1643, device='cuda:0')
tensor(1.1948, device='cuda:0')
tensor(0.0252, device='cuda:0')
tensor(0.2676, device='cuda:0')
tensor(0.1531, device='cuda:0')
tensor(0.1353, device='cuda:0')
tensor(0.4427, device='cuda:0')
tensor(0.2766, device='cuda:0')
tensor(0.3685, device='cuda:0')
tensor(0.0740, device='cuda:0')
tensor(0.1990, device='cuda:0')
tensor(0.3344, device='cuda:0')
tensor(0.3745, device='cuda:0')
tensor(0.4768, device='cuda:0')
tensor(0.7510, device='cuda:0')
tensor(0.1299, device='cuda:0')
tensor(0.2239, device='cuda:0')
tensor(0.0790, device='cuda:0')
tensor(0.1090, device='cuda:0')
tensor(0.1069, device='cuda:0')
tensor(0.3184, device='cuda:0')
tensor(0.3112, device='cuda:0')
tensor(0.0881, device='cuda:0')
tensor(0.0343, device='cuda:0')
tensor(0.4446, device='cuda:0')
tensor(0.2367, device='cuda:0')
tensor(0.2089, device='cuda:0')
tensor(0.2678, device='cuda:0')
tensor(0.3967, device='cuda:0')
tensor(1.0380, device='cuda:0')
tensor(0.1965, device='cuda:0')
tensor(0.1276, device='cuda:0')
tensor(0.3358, device='cuda:0')
tensor(0.2945, device='cuda:0')
tensor(0.3318, device='cuda:0')
tensor(0.1286, device='cuda:0')
tensor(0.2207, device='cuda:0')
tensor(0.4064, device='cuda:0')
tensor(0.0309, device='cuda:0')
tensor(0.2283, device='cuda:0')
tensor(0.0442, device='cuda:0')
tensor(0.0999, device='cuda:0')
tensor(0.7014, device='cuda:0')
tensor(0.2461, device='cuda:0')
tensor(0.2887, device='cuda:0')
tensor(0.0802, device='cuda:0')
tensor(0.3176, device='cuda:0')
tensor(0.4953, device='cuda:0')
tensor(0.3911, device='cuda:0')
tensor(0.5005, device='cuda:0')
tensor(0.1778, device='cuda:0')
tensor(0.1637, device='cuda:0')
tensor(0.0499, device='cuda:0')
tensor(0.9344, device='cuda:0')
tensor(0.2427, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1615, device='cuda:0')
tensor(0.3112, device='cuda:0')
tensor(0.1007, device='cuda:0')
tensor(0.1595, device='cuda:0')
tensor(0.1552, device='cuda:0')
tensor(0.3849, device='cuda:0')
tensor(0.3165, device='cuda:0')
tensor(0.3172, device='cuda:0')
tensor(0.1965, device='cuda:0')
tensor(0.2200, device='cuda:0')
tensor(0.1963, device='cuda:0')
tensor(0.2882, device='cuda:0')
tensor(0.0313, device='cuda:0')
tensor(0.2903, device='cuda:0')
tensor(0.1125, device='cuda:0')
tensor(0.0492, device='cuda:0')
tensor(0.0794, device='cuda:0')
tensor(0.9546, device='cuda:0')
tensor(0.2961, device='cuda:0')
tensor(0.1303, device='cuda:0')
tensor(0.1188, device='cuda:0')
tensor(0.1275, device='cuda:0')
tensor(0.5258, device='cuda:0')
tensor(0.3371, device='cuda:0')
tensor(0.0052, device='cuda:0')
tensor(0.0513, device='cuda:0')
tensor(0.0798, device='cuda:0')
tensor(0.4363, device='cuda:0')
tensor(0.3807, device='cuda:0')
tensor(0.0611, device='cuda:0')
tensor(0.3157, device='cuda:0')
tensor(0.1137, device='cuda:0')
tensor(0.4140, device='cuda:0')
tensor(0.2888, device='cuda:0')
tensor(0.1674, device='cuda:0')
tensor(0.5027, device='cuda:0')
tensor(0.1075, device='cuda:0')
tensor(0.2082, device='cuda:0')
tensor(0.2552, device='cuda:0')
tensor(0.0746, device='cuda:0')
tensor(0.1614, device='cuda:0')
tensor(0.5158, device='cuda:0')
tensor(0.2505, device='cuda:0')
tensor(0.2537, device='cuda:0')
tensor(0.4684, device='cuda:0')
tensor(0.7618, device='cuda:0')
tensor(0.3382, device='cuda:0')
tensor(0.0921, device='cuda:0')
tensor(0.5267, device='cuda:0')
tensor(0.2682, device='cuda:0')
tensor(0.2937, device='cuda:0')
tensor(0.4016, device='cuda:0')
tensor(0.1472, device='cuda:0')
tensor(0.1796, device='cuda:0')
tensor(0.1952, device='cuda:0')
tensor(0.2094, device='cuda:0')
tensor(0.2579, device='cuda:0')
tensor(0.1202, device='cuda:0')
tensor(0.0994, device='cuda:0')
tensor(0.2945, device='cuda:0')
tensor(0.2023, device='cuda:0')
tensor(0.1938, device='cuda:0')
tensor(0.1315, device='cuda:0')
tensor(0.1230, device='cuda:0')
tensor(0.0279, device='cuda:0')
tensor(0.1882, device='cuda:0')
tensor(0.5076, device='cuda:0')
tensor(0.1607, device='cuda:0')
tensor(0.5920, device='cuda:0')
tensor(0.2339, device='cuda:0')
tensor(0.4935, device='cuda:0')
tensor(0.7255, device='cuda:0')
tensor(0.2896, device='cuda:0')
tensor(0.1923, device='cuda:0')
tensor(0.6561, device='cuda:0')
tensor(0.5875, device='cuda:0')
tensor(0.3099, device='cuda:0')
tensor(0.8076, device='cuda:0')
tensor(0.3604, device='cuda:0')
tensor(0.2227, device='cuda:0')
tensor(0.6817, device='cuda:0')
tensor(0.2480, device='cuda:0')
tensor(0.3936, device='cuda:0')
tensor(0.2015, device='cuda:0')
tensor(0.0777, device='cuda:0')
tensor(0.0421, device='cuda:0')
tensor(0.6157, device='cuda:0')
tensor(0.3543, device='cuda:0')
tensor(0.4212, device='cuda:0')
tensor(0.5420, device='cuda:0')
tensor(0.2673, device='cuda:0')
tensor(0.2665, device='cuda:0')
tensor(0.2150, device='cuda:0')
tensor(0.1004, device='cuda:0')
tensor(0.1883, device='cuda:0')
tensor(0.1994, device='cuda:0')
tensor(0.1052, device='cuda:0')
tensor(0.3280, device='cuda:0')
tensor(0.1794, device='cuda:0')
tensor(0.4018, device='cuda:0')
tensor(0.1190, device='cuda:0')
tensor(0.2508, device='cuda:0')
tensor(0.1136, device='cuda:0')
tensor(0.0846, device='cuda:0')
tensor(0.3986, device='cuda:0')
tensor(0.0348, device='cuda:0')
tensor(0.1717, device='cuda:0')
tensor(0.2912, device='cuda:0')
tensor(0.5436, device='cuda:0')
tensor(0.2529, device='cuda:0')
tensor(0.4700, device='cuda:0')
tensor(0.3094, device='cuda:0')
tensor(0.0925, device='cuda:0')
tensor(0.2106, device='cuda:0')
tensor(0.1934, device='cuda:0')
tensor(0.3177, device='cuda:0')
tensor(1.0154, device='cuda:0')
tensor(0.6142, device='cuda:0')
tensor(0.3867, device='cuda:0')
tensor(0.2071, device='cuda:0')
tensor(0.4356, device='cuda:0')
tensor(1.0213, device='cuda:0')
tensor(0.1795, device='cuda:0')
tensor(0.3785, device='cuda:0')
tensor(0.2732, device='cuda:0')
tensor(0.3031, device='cuda:0')
tensor(0.0881, device='cuda:0')
tensor(0.3660, device='cuda:0')
tensor(0.5550, device='cuda:0')
tensor(0.0945, device='cuda:0')
tensor(0.6990, device='cuda:0')
tensor(0.3075, device='cuda:0')
tensor(0.1757, device='cuda:0')
tensor(0.3089, device='cuda:0')
tensor(0.1782, device='cuda:0')
tensor(0.4928, device='cuda:0')
tensor(0.2785, device='cuda:0')
tensor(0.0466, device='cuda:0')
tensor(0.1034, device='cuda:0')
tensor(0.1904, device='cuda:0')
tensor(0.2801, device='cuda:0')
tensor(0.3830, device='cuda:0')
tensor(0.4681, device='cuda:0')
tensor(0.3662, device='cuda:0')
tensor(0.1858, device='cuda:0')
tensor(0.2268, device='cuda:0')
tensor(0.4921, device='cuda:0')
tensor(0.1827, device='cuda:0')
tensor(0.1720, device='cuda:0')
tensor(0.1967, device='cuda:0')
tensor(0.4103, device='cuda:0')
tensor(0.0995, device='cuda:0')
tensor(0.0760, device='cuda:0')
tensor(0.6189, device='cuda:0')
tensor(0.0068, device='cuda:0')
tensor(0.0254, device='cuda:0')
tensor(0.1601, device='cuda:0')
tensor(0.4534, device='cuda:0')
tensor(0.0986, device='cuda:0')
tensor(0.2003, device='cuda:0')
tensor(0.0460, device='cuda:0')
tensor(0.2160, device='cuda:0')
tensor(0.3308, device='cuda:0')
tensor(0.3865, device='cuda:0')
