tensor(0.2997, device='cuda:0')
tensor(0.6111, device='cuda:0')
tensor(0.1433, device='cuda:0')
tensor(0.3952, device='cuda:0')
tensor(0.2968, device='cuda:0')
tensor(0.2215, device='cuda:0')
tensor(0.5614, device='cuda:0')
tensor(0.2095, device='cuda:0')
tensor(0.2364, device='cuda:0')
tensor(0.0310, device='cuda:0')
tensor(0.6868, device='cuda:0')
tensor(0.3950, device='cuda:0')
tensor(0.2438, device='cuda:0')
tensor(0.1783, device='cuda:0')
tensor(0.2922, device='cuda:0')
tensor(0.2590, device='cuda:0')
tensor(0.1354, device='cuda:0')
tensor(0.1156, device='cuda:0')
tensor(0.3452, device='cuda:0')
tensor(0.0430, device='cuda:0')
tensor(0.1314, device='cuda:0')
tensor(0.2255, device='cuda:0')
tensor(0.1883, device='cuda:0')
tensor(0.5870, device='cuda:0')
tensor(0.2511, device='cuda:0')
tensor(0.2299, device='cuda:0')
tensor(0.1627, device='cuda:0')
tensor(0.2387, device='cuda:0')
tensor(0.3383, device='cuda:0')
tensor(0.2110, device='cuda:0')
tensor(0.1327, device='cuda:0')
tensor(0.1862, device='cuda:0')
tensor(0.2557, device='cuda:0')
tensor(0.7107, device='cuda:0')
tensor(0.0591, device='cuda:0')
tensor(0.2512, device='cuda:0')
tensor(0.1923, device='cuda:0')
tensor(0.6502, device='cuda:0')
tensor(0.5586, device='cuda:0')
tensor(0.8855, device='cuda:0')
tensor(0.4009, device='cuda:0')
tensor(0.1578, device='cuda:0')
tensor(0.2516, device='cuda:0')
tensor(0.2236, device='cuda:0')
tensor(0.2501, device='cuda:0')
tensor(0.1578, device='cuda:0')
tensor(0.2906, device='cuda:0')
tensor(0.3277, device='cuda:0')
tensor(0.5480, device='cuda:0')
tensor(0.1382, device='cuda:0')
tensor(0.1942, device='cuda:0')
tensor(0.0417, device='cuda:0')
tensor(0.1565, device='cuda:0')
tensor(0.1322, device='cuda:0')
tensor(0.0126, device='cuda:0')
tensor(0.3786, device='cuda:0')
tensor(0.7479, device='cuda:0')
tensor(0.0750, device='cuda:0')
tensor(0.4043, device='cuda:0')
tensor(0.6565, device='cuda:0')
tensor(0.1733, device='cuda:0')
tensor(0.4630, device='cuda:0')
tensor(0.1020, device='cuda:0')
tensor(0.4387, device='cuda:0')
tensor(0.7981, device='cuda:0')
tensor(0.8486, device='cuda:0')
tensor(0.2996, device='cuda:0')
tensor(0.3498, device='cuda:0')
tensor(0.3312, device='cuda:0')
tensor(0.4418, device='cuda:0')
tensor(0.5207, device='cuda:0')
tensor(0.1626, device='cuda:0')
tensor(0.2541, device='cuda:0')
tensor(0.2802, device='cuda:0')
tensor(0.1772, device='cuda:0')
tensor(0.0403, device='cuda:0')
tensor(0.1457, device='cuda:0')
tensor(0.2107, device='cuda:0')
tensor(0.3081, device='cuda:0')
tensor(0.7728, device='cuda:0')
tensor(0.1405, device='cuda:0')
tensor(0.1189, device='cuda:0')
tensor(0.1408, device='cuda:0')
tensor(0.1885, device='cuda:0')
tensor(0.1982, device='cuda:0')
tensor(0.1112, device='cuda:0')
tensor(0.0487, device='cuda:0')
tensor(0.0954, device='cuda:0')
tensor(0.1687, device='cuda:0')
tensor(0.3144, device='cuda:0')
tensor(0.0714, device='cuda:0')
tensor(0.2553, device='cuda:0')
tensor(0.2005, device='cuda:0')
tensor(0.2344, device='cuda:0')
tensor(0.5355, device='cuda:0')
tensor(0.2053, device='cuda:0')
tensor(0.0462, device='cuda:0')
tensor(0.1497, device='cuda:0')
tensor(0.3902, device='cuda:0')
tensor(0.5201, device='cuda:0')
tensor(0.1858, device='cuda:0')
tensor(0.1891, device='cuda:0')
tensor(0.1971, device='cuda:0')
tensor(0.0617, device='cuda:0')
tensor(0.1807, device='cuda:0')
tensor(0.2479, device='cuda:0')
tensor(0.3597, device='cuda:0')
tensor(0.5127, device='cuda:0')
tensor(0.9878, device='cuda:0')
tensor(0.1457, device='cuda:0')
tensor(0.5457, device='cuda:0')
tensor(0.2210, device='cuda:0')
tensor(0.2108, device='cuda:0')
tensor(0.2273, device='cuda:0')
tensor(0.2987, device='cuda:0')
tensor(0.3912, device='cuda:0')
tensor(0.2044, device='cuda:0')
tensor(0.2985, device='cuda:0')
tensor(0.4568, device='cuda:0')
tensor(0.0990, device='cuda:0')
tensor(0.4695, device='cuda:0')
tensor(0.6967, device='cuda:0')
tensor(0.1926, device='cuda:0')
tensor(0.4832, device='cuda:0')
tensor(0.2681, device='cuda:0')
tensor(0.2256, device='cuda:0')
tensor(0.4883, device='cuda:0')
tensor(0.4097, device='cuda:0')
tensor(0.5204, device='cuda:0')
tensor(0.2939, device='cuda:0')
tensor(0.1877, device='cuda:0')
tensor(0.3387, device='cuda:0')
tensor(0.3030, device='cuda:0')
tensor(0.3241, device='cuda:0')
tensor(0.0825, device='cuda:0')
tensor(0.2254, device='cuda:0')
tensor(0.2915, device='cuda:0')
tensor(0.2853, device='cuda:0')
tensor(0.2054, device='cuda:0')
tensor(0.5047, device='cuda:0')
tensor(0.3681, device='cuda:0')
tensor(0.4643, device='cuda:0')
tensor(0.0360, device='cuda:0')
tensor(0.2324, device='cuda:0')
tensor(0.1348, device='cuda:0')
tensor(0.2606, device='cuda:0')
tensor(0.3880, device='cuda:0')
tensor(0.6348, device='cuda:0')
tensor(0.2018, device='cuda:0')
tensor(0.2847, device='cuda:0')
tensor(0.2328, device='cuda:0')
tensor(0.1360, device='cuda:0')
tensor(0.1529, device='cuda:0')
tensor(0.1536, device='cuda:0')
tensor(0.2358, device='cuda:0')
tensor(0.2141, device='cuda:0')
tensor(0.0790, device='cuda:0')
tensor(0.2311, device='cuda:0')
tensor(0.0449, device='cuda:0')
tensor(0.1294, device='cuda:0')
tensor(0.0792, device='cuda:0')
tensor(0.1566, device='cuda:0')
tensor(0.2787, device='cuda:0')
tensor(0.1093, device='cuda:0')
tensor(0.1529, device='cuda:0')
tensor(0.1371, device='cuda:0')
tensor(0.2182, device='cuda:0')
tensor(0.2793, device='cuda:0')
tensor(0.3644, device='cuda:0')
tensor(0.2836, device='cuda:0')
tensor(0.0616, device='cuda:0')
tensor(0.0589, device='cuda:0')
tensor(0.1285, device='cuda:0')
tensor(0.1775, device='cuda:0')
tensor(1.1825, device='cuda:0')
tensor(0.1710, device='cuda:0')
tensor(0.1728, device='cuda:0')
tensor(0.3229, device='cuda:0')
tensor(0.1987, device='cuda:0')
tensor(0.5006, device='cuda:0')
tensor(0.1605, device='cuda:0')
tensor(0.2377, device='cuda:0')
tensor(0.4346, device='cuda:0')
tensor(0.1414, device='cuda:0')
tensor(0.0800, device='cuda:0')
tensor(0.1860, device='cuda:0')
tensor(0.2542, device='cuda:0')
tensor(0.1593, device='cuda:0')
tensor(0.3688, device='cuda:0')
tensor(0.0577, device='cuda:0')
tensor(0.5700, device='cuda:0')
tensor(0.2703, device='cuda:0')
tensor(0.2763, device='cuda:0')
tensor(0.4915, device='cuda:0')
tensor(0.0733, device='cuda:0')
tensor(0.8753, device='cuda:0')
tensor(0.4239, device='cuda:0')
tensor(0.1466, device='cuda:0')
tensor(0.1806, device='cuda:0')
tensor(0.5093, device='cuda:0')
tensor(0.0895, device='cuda:0')
tensor(0.0668, device='cuda:0')
tensor(0.1053, device='cuda:0')
tensor(0.0390, device='cuda:0')
tensor(0.4819, device='cuda:0')
tensor(0.1688, device='cuda:0')
tensor(0.3015, device='cuda:0')
tensor(0.2379, device='cuda:0')
tensor(0.1225, device='cuda:0')
tensor(0.0978, device='cuda:0')
tensor(0.1224, device='cuda:0')
tensor(0.2180, device='cuda:0')
tensor(0.1432, device='cuda:0')
tensor(0.1607, device='cuda:0')
tensor(0.3049, device='cuda:0')
tensor(0.1801, device='cuda:0')
tensor(0.3236, device='cuda:0')
tensor(0.1145, device='cuda:0')
tensor(0.2638, device='cuda:0')
tensor(0.2059, device='cuda:0')
tensor(0.6263, device='cuda:0')
tensor(0.3784, device='cuda:0')
tensor(0.1744, device='cuda:0')
tensor(0.3984, device='cuda:0')
tensor(0.1405, device='cuda:0')
tensor(0.1050, device='cuda:0')
tensor(0.2103, device='cuda:0')
tensor(0.1062, device='cuda:0')
tensor(0.2905, device='cuda:0')
tensor(0.3347, device='cuda:0')
tensor(0.1578, device='cuda:0')
tensor(0.0555, device='cuda:0')
tensor(0.0671, device='cuda:0')
tensor(0.2224, device='cuda:0')
tensor(0.2031, device='cuda:0')
tensor(0.1168, device='cuda:0')
tensor(0.1079, device='cuda:0')
tensor(0.2440, device='cuda:0')
tensor(0.4858, device='cuda:0')
tensor(0.6293, device='cuda:0')
tensor(0.1939, device='cuda:0')
tensor(0.6324, device='cuda:0')
