tensor(0.6582, device='cuda:0')
tensor(0.6046, device='cuda:0')
tensor(0.7515, device='cuda:0')
tensor(0.7523, device='cuda:0')
tensor(0.8275, device='cuda:0')
tensor(0.6755, device='cuda:0')
tensor(0.8873, device='cuda:0')
tensor(0.7501, device='cuda:0')
tensor(0.8987, device='cuda:0')
tensor(0.8784, device='cuda:0')
tensor(0.9899, device='cuda:0')
tensor(0.7749, device='cuda:0')
tensor(0.8764, device='cuda:0')
tensor(0.6723, device='cuda:0')
tensor(0.7090, device='cuda:0')
tensor(0.5660, device='cuda:0')
tensor(0.7125, device='cuda:0')
tensor(0.9980, device='cuda:0')
tensor(0.8046, device='cuda:0')
tensor(1.5239, device='cuda:0')
tensor(0.8386, device='cuda:0')
tensor(0.4863, device='cuda:0')
tensor(0.7720, device='cuda:0')
tensor(1.4324, device='cuda:0')
tensor(0.6247, device='cuda:0')
tensor(0.6978, device='cuda:0')
tensor(1.0103, device='cuda:0')
tensor(0.7652, device='cuda:0')
tensor(0.7138, device='cuda:0')
tensor(0.5134, device='cuda:0')
tensor(1.0274, device='cuda:0')
tensor(0.4165, device='cuda:0')
tensor(0.5666, device='cuda:0')
tensor(0.5758, device='cuda:0')
tensor(0.8469, device='cuda:0')
tensor(0.6345, device='cuda:0')
tensor(0.7641, device='cuda:0')
tensor(1.3397, device='cuda:0')
tensor(1.2940, device='cuda:0')
tensor(0.4164, device='cuda:0')
tensor(0.6724, device='cuda:0')
tensor(0.6073, device='cuda:0')
tensor(0.6571, device='cuda:0')
tensor(0.6757, device='cuda:0')
tensor(0.6308, device='cuda:0')
tensor(0.8403, device='cuda:0')
tensor(0.3798, device='cuda:0')
tensor(1.5948, device='cuda:0')
tensor(0.5844, device='cuda:0')
tensor(0.5385, device='cuda:0')
tensor(1.2243, device='cuda:0')
tensor(0.5328, device='cuda:0')
tensor(0.6076, device='cuda:0')
tensor(0.9558, device='cuda:0')
tensor(1.1527, device='cuda:0')
tensor(0.8328, device='cuda:0')
tensor(0.8908, device='cuda:0')
tensor(0.5873, device='cuda:0')
tensor(0.7592, device='cuda:0')
tensor(0.8989, device='cuda:0')
tensor(0.5466, device='cuda:0')
tensor(0.6413, device='cuda:0')
tensor(0.5560, device='cuda:0')
tensor(0.6653, device='cuda:0')
tensor(0.7326, device='cuda:0')
tensor(0.7600, device='cuda:0')
tensor(0.5668, device='cuda:0')
tensor(0.6443, device='cuda:0')
tensor(0.5802, device='cuda:0')
tensor(0.8869, device='cuda:0')
tensor(1.3919, device='cuda:0')
tensor(1.0367, device='cuda:0')
tensor(1.4882, device='cuda:0')
tensor(0.7529, device='cuda:0')
tensor(0.6986, device='cuda:0')
tensor(0.7528, device='cuda:0')
tensor(0.6130, device='cuda:0')
tensor(0.7361, device='cuda:0')
tensor(0.7604, device='cuda:0')
tensor(0.6995, device='cuda:0')
tensor(0.5184, device='cuda:0')
tensor(1.3919, device='cuda:0')
tensor(0.9841, device='cuda:0')
tensor(0.5884, device='cuda:0')
tensor(0.9768, device='cuda:0')
tensor(0.9130, device='cuda:0')
tensor(0.5862, device='cuda:0')
tensor(0.6268, device='cuda:0')
tensor(0.9381, device='cuda:0')
tensor(0.7607, device='cuda:0')
tensor(0.8262, device='cuda:0')
tensor(0.8274, device='cuda:0')
tensor(0.6911, device='cuda:0')
tensor(0.8551, device='cuda:0')
tensor(0.6412, device='cuda:0')
tensor(0.6740, device='cuda:0')
tensor(0.4472, device='cuda:0')
tensor(0.8919, device='cuda:0')
tensor(0.6543, device='cuda:0')
tensor(0.6693, device='cuda:0')
tensor(0.5597, device='cuda:0')
tensor(0.6944, device='cuda:0')
tensor(0.8152, device='cuda:0')
tensor(1.0551, device='cuda:0')
tensor(0.5330, device='cuda:0')
tensor(0.6541, device='cuda:0')
tensor(1.3324, device='cuda:0')
tensor(0.7711, device='cuda:0')
tensor(0.5865, device='cuda:0')
tensor(0.7032, device='cuda:0')
tensor(0.4080, device='cuda:0')
tensor(1.2701, device='cuda:0')
tensor(0.7300, device='cuda:0')
tensor(1.1329, device='cuda:0')
tensor(0.7555, device='cuda:0')
tensor(0.7360, device='cuda:0')
tensor(0.8171, device='cuda:0')
tensor(0.8410, device='cuda:0')
tensor(0.5788, device='cuda:0')
tensor(0.5736, device='cuda:0')
tensor(0.5201, device='cuda:0')
tensor(0.6014, device='cuda:0')
tensor(1.5074, device='cuda:0')
tensor(0.7577, device='cuda:0')
tensor(0.8973, device='cuda:0')
tensor(1.5678, device='cuda:0')
tensor(1.2662, device='cuda:0')
tensor(0.6615, device='cuda:0')
tensor(1.0535, device='cuda:0')
tensor(0.5220, device='cuda:0')
tensor(0.7012, device='cuda:0')
tensor(0.6799, device='cuda:0')
tensor(0.7499, device='cuda:0')
tensor(1.1309, device='cuda:0')
tensor(0.9980, device='cuda:0')
tensor(0.6830, device='cuda:0')
tensor(1.0234, device='cuda:0')
tensor(0.5976, device='cuda:0')
tensor(1.0397, device='cuda:0')
tensor(0.8909, device='cuda:0')
tensor(0.5711, device='cuda:0')
tensor(0.8839, device='cuda:0')
tensor(0.6777, device='cuda:0')
tensor(1.1126, device='cuda:0')
tensor(0.6929, device='cuda:0')
