tensor(0.2779, device='cuda:0')
tensor(0.0883, device='cuda:0')
tensor(0.4120, device='cuda:0')
tensor(0.3685, device='cuda:0')
tensor(0.1373, device='cuda:0')
tensor(0.4380, device='cuda:0')
tensor(0.9364, device='cuda:0')
tensor(0.1807, device='cuda:0')
tensor(0.2677, device='cuda:0')
tensor(0.0376, device='cuda:0')
tensor(0.5097, device='cuda:0')
tensor(0.2491, device='cuda:0')
tensor(0.4409, device='cuda:0')
tensor(0.3094, device='cuda:0')
tensor(0.2017, device='cuda:0')
tensor(0.1547, device='cuda:0')
tensor(0.1833, device='cuda:0')
tensor(0.4238, device='cuda:0')
tensor(0.1604, device='cuda:0')
tensor(0.4602, device='cuda:0')
tensor(0.5018, device='cuda:0')
tensor(0.4227, device='cuda:0')
tensor(0.3115, device='cuda:0')
tensor(0.2103, device='cuda:0')
tensor(0.6333, device='cuda:0')
tensor(0.5018, device='cuda:0')
tensor(0.2597, device='cuda:0')
tensor(0.2488, device='cuda:0')
tensor(0.4172, device='cuda:0')
tensor(0.3542, device='cuda:0')
tensor(0.3851, device='cuda:0')
tensor(0.2927, device='cuda:0')
tensor(0.2100, device='cuda:0')
tensor(0.1336, device='cuda:0')
tensor(0.4027, device='cuda:0')
tensor(0.2761, device='cuda:0')
tensor(0.3034, device='cuda:0')
tensor(0.0666, device='cuda:0')
tensor(0.0683, device='cuda:0')
tensor(0.0112, device='cuda:0')
tensor(0.4451, device='cuda:0')
tensor(0.4016, device='cuda:0')
tensor(0.2480, device='cuda:0')
tensor(0.1590, device='cuda:0')
tensor(0.2742, device='cuda:0')
tensor(0.3932, device='cuda:0')
tensor(0.3646, device='cuda:0')
tensor(1.1166, device='cuda:0')
tensor(0.6816, device='cuda:0')
tensor(0.4782, device='cuda:0')
tensor(0.5338, device='cuda:0')
tensor(0.2663, device='cuda:0')
tensor(0.3802, device='cuda:0')
tensor(0.4402, device='cuda:0')
tensor(0.0351, device='cuda:0')
tensor(0.8089, device='cuda:0')
tensor(0.5287, device='cuda:0')
tensor(0.4800, device='cuda:0')
tensor(0.1218, device='cuda:0')
tensor(0.3716, device='cuda:0')
tensor(0.2343, device='cuda:0')
tensor(0.4491, device='cuda:0')
tensor(0.3068, device='cuda:0')
tensor(0.3165, device='cuda:0')
tensor(0.1930, device='cuda:0')
tensor(0.9542, device='cuda:0')
tensor(0.2593, device='cuda:0')
tensor(0.4674, device='cuda:0')
tensor(0.1613, device='cuda:0')
tensor(0.2515, device='cuda:0')
tensor(0.1232, device='cuda:0')
tensor(0.4156, device='cuda:0')
tensor(0.3130, device='cuda:0')
tensor(0.3120, device='cuda:0')
tensor(0.3594, device='cuda:0')
tensor(0.2228, device='cuda:0')
tensor(0.1835, device='cuda:0')
tensor(0.1657, device='cuda:0')
tensor(0.2197, device='cuda:0')
tensor(0.1328, device='cuda:0')
tensor(0.2573, device='cuda:0')
tensor(0.6513, device='cuda:0')
tensor(0.4495, device='cuda:0')
tensor(0.6720, device='cuda:0')
tensor(0.3142, device='cuda:0')
tensor(0.7016, device='cuda:0')
tensor(0.2486, device='cuda:0')
tensor(0.5921, device='cuda:0')
tensor(0.5135, device='cuda:0')
tensor(0.6403, device='cuda:0')
tensor(0.0425, device='cuda:0')
tensor(0.0450, device='cuda:0')
tensor(0.4856, device='cuda:0')
tensor(0.2192, device='cuda:0')
tensor(0.7638, device='cuda:0')
tensor(0.3467, device='cuda:0')
tensor(0.2651, device='cuda:0')
tensor(0.1562, device='cuda:0')
tensor(0.3921, device='cuda:0')
tensor(0.2417, device='cuda:0')
tensor(0.1285, device='cuda:0')
tensor(0.3187, device='cuda:0')
tensor(0.3723, device='cuda:0')
tensor(0.9215, device='cuda:0')
tensor(0.1901, device='cuda:0')
tensor(0.4508, device='cuda:0')
tensor(0.2522, device='cuda:0')
tensor(0.3511, device='cuda:0')
tensor(0.0740, device='cuda:0')
tensor(0.2754, device='cuda:0')
tensor(0.1101, device='cuda:0')
tensor(0.6473, device='cuda:0')
tensor(0.6652, device='cuda:0')
tensor(0.3723, device='cuda:0')
tensor(0.3072, device='cuda:0')
tensor(0.3335, device='cuda:0')
tensor(0.7048, device='cuda:0')
tensor(0.2691, device='cuda:0')
tensor(0.3781, device='cuda:0')
tensor(0.1064, device='cuda:0')
tensor(0.2577, device='cuda:0')
tensor(1.0056, device='cuda:0')
tensor(0.8307, device='cuda:0')
tensor(0.2075, device='cuda:0')
tensor(0.2335, device='cuda:0')
tensor(0.4067, device='cuda:0')
tensor(0.8302, device='cuda:0')
tensor(0.3905, device='cuda:0')
tensor(0.1583, device='cuda:0')
tensor(0.2232, device='cuda:0')
tensor(0.1553, device='cuda:0')
tensor(0.1824, device='cuda:0')
tensor(0.4908, device='cuda:0')
tensor(0.2966, device='cuda:0')
tensor(0.2293, device='cuda:0')
tensor(0.3355, device='cuda:0')
tensor(0.2667, device='cuda:0')
tensor(0.1605, device='cuda:0')
tensor(0.1987, device='cuda:0')
tensor(0.3382, device='cuda:0')
tensor(0.2798, device='cuda:0')
tensor(0.2743, device='cuda:0')
tensor(0.7579, device='cuda:0')
tensor(0.2442, device='cuda:0')
tensor(0.4084, device='cuda:0')
tensor(0.4126, device='cuda:0')
