tensor(0.3255, device='cuda:0')
tensor(0.4815, device='cuda:0')
tensor(0.1884, device='cuda:0')
tensor(0.3305, device='cuda:0')
tensor(0.4075, device='cuda:0')
tensor(0.2149, device='cuda:0')
tensor(0.3863, device='cuda:0')
tensor(0.3244, device='cuda:0')
tensor(0.2572, device='cuda:0')
tensor(0.2622, device='cuda:0')
tensor(0.4966, device='cuda:0')
tensor(0.2679, device='cuda:0')
tensor(0.1316, device='cuda:0')
tensor(0.2387, device='cuda:0')
tensor(0.5803, device='cuda:0')
tensor(0.1834, device='cuda:0')
tensor(0.1045, device='cuda:0')
tensor(0.1007, device='cuda:0')
tensor(0.6363, device='cuda:0')
tensor(0.2079, device='cuda:0')
tensor(0.3368, device='cuda:0')
tensor(0.1729, device='cuda:0')
tensor(0.2416, device='cuda:0')
tensor(0.7003, device='cuda:0')
tensor(0.3519, device='cuda:0')
tensor(0.5802, device='cuda:0')
tensor(0.0950, device='cuda:0')
tensor(0.3621, device='cuda:0')
tensor(0.2064, device='cuda:0')
tensor(0.1854, device='cuda:0')
tensor(0.3660, device='cuda:0')
tensor(0.5046, device='cuda:0')
tensor(0.5013, device='cuda:0')
tensor(0.0762, device='cuda:0')
tensor(0.1001, device='cuda:0')
tensor(0.2763, device='cuda:0')
tensor(0.1679, device='cuda:0')
tensor(0.1682, device='cuda:0')
tensor(0.4955, device='cuda:0')
tensor(0.2792, device='cuda:0')
tensor(0.2892, device='cuda:0')
tensor(0.2814, device='cuda:0')
tensor(0.0638, device='cuda:0')
tensor(0.3288, device='cuda:0')
tensor(0.2244, device='cuda:0')
tensor(0.4121, device='cuda:0')
tensor(0.4125, device='cuda:0')
tensor(0.2571, device='cuda:0')
tensor(0.5025, device='cuda:0')
tensor(0.2314, device='cuda:0')
tensor(0.1480, device='cuda:0')
tensor(0.1189, device='cuda:0')
tensor(0.5654, device='cuda:0')
tensor(0.2787, device='cuda:0')
tensor(0.1387, device='cuda:0')
tensor(0.2049, device='cuda:0')
tensor(0.8898, device='cuda:0')
tensor(0.0987, device='cuda:0')
tensor(0.1384, device='cuda:0')
tensor(1.0916, device='cuda:0')
tensor(0.2871, device='cuda:0')
tensor(0.2526, device='cuda:0')
tensor(0.5161, device='cuda:0')
tensor(0.3350, device='cuda:0')
tensor(0.1363, device='cuda:0')
tensor(0.6699, device='cuda:0')
tensor(0.7725, device='cuda:0')
tensor(0.6094, device='cuda:0')
tensor(0.4057, device='cuda:0')
tensor(0.2434, device='cuda:0')
tensor(0.5265, device='cuda:0')
tensor(0.7621, device='cuda:0')
tensor(0.1244, device='cuda:0')
tensor(0.1914, device='cuda:0')
tensor(0.7226, device='cuda:0')
tensor(0.0780, device='cuda:0')
tensor(0.2107, device='cuda:0')
tensor(0.1641, device='cuda:0')
tensor(0.3457, device='cuda:0')
tensor(0.1106, device='cuda:0')
tensor(0.4699, device='cuda:0')
tensor(0.1300, device='cuda:0')
tensor(0.1502, device='cuda:0')
tensor(0.2129, device='cuda:0')
tensor(0.4323, device='cuda:0')
tensor(0.4801, device='cuda:0')
tensor(0.5169, device='cuda:0')
tensor(0.4388, device='cuda:0')
tensor(0.5174, device='cuda:0')
tensor(0.5407, device='cuda:0')
tensor(0.2606, device='cuda:0')
tensor(0.3169, device='cuda:0')
tensor(0.5093, device='cuda:0')
tensor(0.5970, device='cuda:0')
tensor(0.1045, device='cuda:0')
tensor(0.2801, device='cuda:0')
tensor(0.4058, device='cuda:0')
tensor(0.4309, device='cuda:0')
tensor(0.3709, device='cuda:0')
tensor(0.2374, device='cuda:0')
tensor(0.3775, device='cuda:0')
tensor(1.0945, device='cuda:0')
tensor(0.4289, device='cuda:0')
tensor(0.3408, device='cuda:0')
tensor(0.1417, device='cuda:0')
tensor(0.1269, device='cuda:0')
tensor(0.5329, device='cuda:0')
tensor(0.3791, device='cuda:0')
tensor(0.6269, device='cuda:0')
tensor(0.1117, device='cuda:0')
tensor(0.4126, device='cuda:0')
tensor(0.3775, device='cuda:0')
tensor(0.3795, device='cuda:0')
tensor(0.0569, device='cuda:0')
tensor(0.2423, device='cuda:0')
tensor(0.1887, device='cuda:0')
tensor(0.3827, device='cuda:0')
tensor(0.3899, device='cuda:0')
tensor(0.3322, device='cuda:0')
tensor(0.1003, device='cuda:0')
tensor(0.2454, device='cuda:0')
tensor(0.7547, device='cuda:0')
tensor(0.3312, device='cuda:0')
tensor(0.2632, device='cuda:0')
tensor(0.1349, device='cuda:0')
tensor(0.4488, device='cuda:0')
tensor(0.4708, device='cuda:0')
tensor(0.1452, device='cuda:0')
tensor(0.3007, device='cuda:0')
tensor(0.8445, device='cuda:0')
tensor(0.2851, device='cuda:0')
tensor(0.4819, device='cuda:0')
tensor(0.4368, device='cuda:0')
tensor(0.1500, device='cuda:0')
tensor(0.5420, device='cuda:0')
tensor(0.5167, device='cuda:0')
tensor(0.1855, device='cuda:0')
tensor(0.3714, device='cuda:0')
tensor(0.0999, device='cuda:0')
tensor(0.2306, device='cuda:0')
tensor(0.7812, device='cuda:0')
tensor(0.1774, device='cuda:0')
tensor(0.5419, device='cuda:0')
tensor(0.2443, device='cuda:0')
tensor(0.0932, device='cuda:0')
tensor(0.3519, device='cuda:0')
