tensor(0.4948, device='cuda:0')
tensor(0.0576, device='cuda:0')
tensor(0.1700, device='cuda:0')
tensor(0.1785, device='cuda:0')
tensor(0.2387, device='cuda:0')
tensor(0.3011, device='cuda:0')
tensor(0.3506, device='cuda:0')
tensor(0.4899, device='cuda:0')
tensor(0.1964, device='cuda:0')
tensor(0.3313, device='cuda:0')
tensor(0.5227, device='cuda:0')
tensor(0.2238, device='cuda:0')
tensor(0.7593, device='cuda:0')
tensor(0.1795, device='cuda:0')
tensor(0.0403, device='cuda:0')
tensor(0.7787, device='cuda:0')
tensor(0.2872, device='cuda:0')
tensor(0.3402, device='cuda:0')
tensor(0.1203, device='cuda:0')
tensor(0.2342, device='cuda:0')
tensor(0.3325, device='cuda:0')
tensor(0.8026, device='cuda:0')
tensor(0.1970, device='cuda:0')
tensor(0.4713, device='cuda:0')
tensor(0.7443, device='cuda:0')
tensor(0.5416, device='cuda:0')
tensor(0.1048, device='cuda:0')
tensor(0.2895, device='cuda:0')
tensor(0.1907, device='cuda:0')
tensor(0.0342, device='cuda:0')
tensor(0.4221, device='cuda:0')
tensor(0.0717, device='cuda:0')
tensor(0.2978, device='cuda:0')
tensor(0.2530, device='cuda:0')
tensor(0.2532, device='cuda:0')
tensor(0.1125, device='cuda:0')
tensor(0.1912, device='cuda:0')
tensor(0.3678, device='cuda:0')
tensor(0.2668, device='cuda:0')
tensor(0.1718, device='cuda:0')
tensor(0.2878, device='cuda:0')
tensor(0.3403, device='cuda:0')
tensor(0.1340, device='cuda:0')
tensor(0.4145, device='cuda:0')
tensor(0.5770, device='cuda:0')
tensor(0.0358, device='cuda:0')
tensor(0.1331, device='cuda:0')
tensor(0.0707, device='cuda:0')
tensor(0.8135, device='cuda:0')
tensor(0.8529, device='cuda:0')
tensor(0.0398, device='cuda:0')
tensor(0.2879, device='cuda:0')
tensor(0.1846, device='cuda:0')
tensor(0.4620, device='cuda:0')
tensor(0.7486, device='cuda:0')
tensor(0.1025, device='cuda:0')
tensor(0.2585, device='cuda:0')
tensor(0.2917, device='cuda:0')
tensor(0.0907, device='cuda:0')
tensor(0.2025, device='cuda:0')
tensor(0.3561, device='cuda:0')
tensor(0.4095, device='cuda:0')
tensor(0.1505, device='cuda:0')
tensor(0.2305, device='cuda:0')
tensor(0.2304, device='cuda:0')
tensor(0.3409, device='cuda:0')
tensor(0.0813, device='cuda:0')
tensor(0.1850, device='cuda:0')
tensor(0.1825, device='cuda:0')
