tensor(0.0681, device='cuda:0')
tensor(0.0075, device='cuda:0')
tensor(0.4012, device='cuda:0')
tensor(0.0106, device='cuda:0')
tensor(0.0043, device='cuda:0')
tensor(0.0319, device='cuda:0')
tensor(0.0771, device='cuda:0')
tensor(0.0381, device='cuda:0')
tensor(0.0506, device='cuda:0')
tensor(0.0175, device='cuda:0')
tensor(0.4703, device='cuda:0')
tensor(0.0743, device='cuda:0')
tensor(0.1577, device='cuda:0')
tensor(0.0439, device='cuda:0')
tensor(0.1115, device='cuda:0')
tensor(0.0161, device='cuda:0')
tensor(0.0498, device='cuda:0')
tensor(0.0595, device='cuda:0')
tensor(0.1676, device='cuda:0')
tensor(0.0365, device='cuda:0')
tensor(0.1160, device='cuda:0')
tensor(0.0278, device='cuda:0')
tensor(0.0498, device='cuda:0')
tensor(0.1443, device='cuda:0')
tensor(0.1902, device='cuda:0')
tensor(0.1975, device='cuda:0')
tensor(0.0328, device='cuda:0')
tensor(0.0513, device='cuda:0')
tensor(0.0965, device='cuda:0')
tensor(0.0393, device='cuda:0')
tensor(0.1016, device='cuda:0')
tensor(0.0096, device='cuda:0')
tensor(0.0712, device='cuda:0')
tensor(0.0761, device='cuda:0')
tensor(0.0621, device='cuda:0')
tensor(0.1060, device='cuda:0')
tensor(0.1317, device='cuda:0')
tensor(0.1962, device='cuda:0')
tensor(0.0351, device='cuda:0')
tensor(0.1264, device='cuda:0')
tensor(0.0019, device='cuda:0')
tensor(0.0689, device='cuda:0')
tensor(0.2779, device='cuda:0')
tensor(0.0042, device='cuda:0')
tensor(0.1649, device='cuda:0')
tensor(0.0551, device='cuda:0')
tensor(0.3009, device='cuda:0')
tensor(0.1432, device='cuda:0')
tensor(0.3066, device='cuda:0')
tensor(0.1095, device='cuda:0')
tensor(0.1124, device='cuda:0')
tensor(0.0024, device='cuda:0')
tensor(0.0182, device='cuda:0')
tensor(0.0397, device='cuda:0')
tensor(0.0414, device='cuda:0')
tensor(0.1831, device='cuda:0')
tensor(0.3491, device='cuda:0')
tensor(0.0120, device='cuda:0')
tensor(0.2165, device='cuda:0')
tensor(0.1507, device='cuda:0')
tensor(0.2126, device='cuda:0')
tensor(0.0447, device='cuda:0')
tensor(0.0148, device='cuda:0')
tensor(0.3560, device='cuda:0')
tensor(0.1444, device='cuda:0')
tensor(0.0049, device='cuda:0')
tensor(0.1047, device='cuda:0')
tensor(0.0077, device='cuda:0')
tensor(0.0215, device='cuda:0')
tensor(0.1683, device='cuda:0')
tensor(0.3575, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.2317, device='cuda:0')
tensor(0.0783, device='cuda:0')
tensor(0.0633, device='cuda:0')
tensor(0.0109, device='cuda:0')
tensor(0.3562, device='cuda:0')
tensor(0.0843, device='cuda:0')
tensor(0.3244, device='cuda:0')
tensor(0.1523, device='cuda:0')
tensor(0.0098, device='cuda:0')
tensor(0.1296, device='cuda:0')
tensor(0.1154, device='cuda:0')
tensor(0.0894, device='cuda:0')
tensor(0.3368, device='cuda:0')
tensor(0.0037, device='cuda:0')
tensor(0.2031, device='cuda:0')
tensor(0.4108, device='cuda:0')
tensor(0.1553, device='cuda:0')
tensor(0.0237, device='cuda:0')
tensor(0.1466, device='cuda:0')
tensor(0.2122, device='cuda:0')
tensor(0.6769, device='cuda:0')
tensor(0.1828, device='cuda:0')
tensor(0.0749, device='cuda:0')
tensor(0.1116, device='cuda:0')
tensor(0.1840, device='cuda:0')
tensor(0.0498, device='cuda:0')
tensor(0.1838, device='cuda:0')
tensor(0.1367, device='cuda:0')
tensor(0.3270, device='cuda:0')
tensor(0.5066, device='cuda:0')
tensor(0.2594, device='cuda:0')
tensor(0.4648, device='cuda:0')
tensor(0.1258, device='cuda:0')
tensor(0.0151, device='cuda:0')
tensor(0.0432, device='cuda:0')
tensor(0.0722, device='cuda:0')
tensor(0.1739, device='cuda:0')
tensor(0.3503, device='cuda:0')
tensor(0.4476, device='cuda:0')
tensor(0.0157, device='cuda:0')
tensor(0.0698, device='cuda:0')
tensor(0.0012, device='cuda:0')
tensor(0.1147, device='cuda:0')
tensor(0.3037, device='cuda:0')
tensor(0.0179, device='cuda:0')
tensor(0.6934, device='cuda:0')
tensor(0.1794, device='cuda:0')
tensor(0.1281, device='cuda:0')
tensor(0.1742, device='cuda:0')
tensor(0.0030, device='cuda:0')
tensor(0.0369, device='cuda:0')
tensor(0.0141, device='cuda:0')
tensor(0.0614, device='cuda:0')
tensor(0.2918, device='cuda:0')
tensor(0.1626, device='cuda:0')
tensor(0.0849, device='cuda:0')
tensor(0.7599, device='cuda:0')
