tensor(0.2908, device='cuda:0')
tensor(0.0521, device='cuda:0')
tensor(0.0591, device='cuda:0')
tensor(0.2766, device='cuda:0')
tensor(0.1361, device='cuda:0')
tensor(0.2273, device='cuda:0')
tensor(0.6549, device='cuda:0')
tensor(0.0145, device='cuda:0')
tensor(0.0190, device='cuda:0')
tensor(0.1124, device='cuda:0')
tensor(0.1216, device='cuda:0')
tensor(0.3713, device='cuda:0')
tensor(0.0540, device='cuda:0')
tensor(0.1275, device='cuda:0')
tensor(0.3064, device='cuda:0')
tensor(0.2155, device='cuda:0')
tensor(0.0054, device='cuda:0')
tensor(0.0095, device='cuda:0')
tensor(0.2743, device='cuda:0')
tensor(0.1838, device='cuda:0')
tensor(0.4088, device='cuda:0')
tensor(0.3745, device='cuda:0')
tensor(0.1345, device='cuda:0')
tensor(0.1262, device='cuda:0')
tensor(0.2373, device='cuda:0')
tensor(0.0191, device='cuda:0')
tensor(0.0330, device='cuda:0')
tensor(0.0027, device='cuda:0')
tensor(0.1196, device='cuda:0')
tensor(0.2446, device='cuda:0')
tensor(0.0292, device='cuda:0')
tensor(0.0543, device='cuda:0')
tensor(0.0045, device='cuda:0')
tensor(0.0264, device='cuda:0')
tensor(0.0046, device='cuda:0')
tensor(0.2560, device='cuda:0')
tensor(0.1564, device='cuda:0')
tensor(0.4957, device='cuda:0')
tensor(0.4728, device='cuda:0')
tensor(0.4468, device='cuda:0')
tensor(0.1305, device='cuda:0')
tensor(0.0386, device='cuda:0')
tensor(0.2163, device='cuda:0')
tensor(0.0030, device='cuda:0')
tensor(0.0212, device='cuda:0')
tensor(0.1992, device='cuda:0')
tensor(0.2894, device='cuda:0')
tensor(0.0216, device='cuda:0')
tensor(0.0160, device='cuda:0')
tensor(0.3518, device='cuda:0')
tensor(0.3270, device='cuda:0')
tensor(0.0519, device='cuda:0')
tensor(0.0039, device='cuda:0')
tensor(0.0119, device='cuda:0')
tensor(0.2229, device='cuda:0')
tensor(0.2295, device='cuda:0')
tensor(0.0901, device='cuda:0')
tensor(0.3013, device='cuda:0')
tensor(0.0159, device='cuda:0')
tensor(0.2079, device='cuda:0')
tensor(0.0533, device='cuda:0')
tensor(0.5839, device='cuda:0')
tensor(0.3241, device='cuda:0')
tensor(0.1558, device='cuda:0')
tensor(0.0439, device='cuda:0')
tensor(0.0032, device='cuda:0')
tensor(0.0521, device='cuda:0')
tensor(0.0973, device='cuda:0')
tensor(0.0077, device='cuda:0')
tensor(0.0068, device='cuda:0')
tensor(0.0708, device='cuda:0')
tensor(0.1280, device='cuda:0')
tensor(0.0272, device='cuda:0')
tensor(0.0232, device='cuda:0')
tensor(0.1460, device='cuda:0')
tensor(0.3604, device='cuda:0')
tensor(0.3162, device='cuda:0')
tensor(0.0045, device='cuda:0')
tensor(0.0185, device='cuda:0')
tensor(0.0547, device='cuda:0')
tensor(0.0060, device='cuda:0')
tensor(0.6938, device='cuda:0')
tensor(0.1012, device='cuda:0')
tensor(0.2024, device='cuda:0')
tensor(0.0459, device='cuda:0')
tensor(0.4248, device='cuda:0')
tensor(0.1445, device='cuda:0')
tensor(0.1099, device='cuda:0')
tensor(0.1713, device='cuda:0')
tensor(0.0247, device='cuda:0')
tensor(0.2347, device='cuda:0')
tensor(0.1109, device='cuda:0')
tensor(0.1769, device='cuda:0')
tensor(0.0023, device='cuda:0')
tensor(0.0042, device='cuda:0')
tensor(0.0323, device='cuda:0')
tensor(0.0165, device='cuda:0')
tensor(0.0721, device='cuda:0')
tensor(0.1186, device='cuda:0')
tensor(0.0165, device='cuda:0')
tensor(1.0425, device='cuda:0')
tensor(0.3931, device='cuda:0')
tensor(0.0011, device='cuda:0')
tensor(0.0027, device='cuda:0')
tensor(0.5064, device='cuda:0')
tensor(0.0656, device='cuda:0')
tensor(0.0799, device='cuda:0')
tensor(0.1054, device='cuda:0')
tensor(0.1605, device='cuda:0')
tensor(0.0241, device='cuda:0')
tensor(0.1244, device='cuda:0')
tensor(0.1062, device='cuda:0')
tensor(0.1124, device='cuda:0')
tensor(0.1476, device='cuda:0')
tensor(0.0089, device='cuda:0')
tensor(0.0178, device='cuda:0')
tensor(0.0258, device='cuda:0')
tensor(0.0913, device='cuda:0')
tensor(0.2105, device='cuda:0')
tensor(0.2201, device='cuda:0')
tensor(0.0096, device='cuda:0')
tensor(0.2121, device='cuda:0')
tensor(0.0700, device='cuda:0')
tensor(0.0535, device='cuda:0')
tensor(0.0104, device='cuda:0')
tensor(0.0710, device='cuda:0')
tensor(0.1653, device='cuda:0')
tensor(0.1544, device='cuda:0')
tensor(0.0701, device='cuda:0')
tensor(0.0747, device='cuda:0')
tensor(0.2182, device='cuda:0')
tensor(0.2342, device='cuda:0')
tensor(0.0296, device='cuda:0')
tensor(0.4109, device='cuda:0')
tensor(0.0694, device='cuda:0')
tensor(0.0071, device='cuda:0')
tensor(0.0064, device='cuda:0')
tensor(0.2196, device='cuda:0')
tensor(0.0351, device='cuda:0')
tensor(0.1776, device='cuda:0')
tensor(0.1642, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.2210, device='cuda:0')
tensor(0.0643, device='cuda:0')
tensor(0.2344, device='cuda:0')
tensor(0.1762, device='cuda:0')
tensor(0.1524, device='cuda:0')
tensor(0.1699, device='cuda:0')
tensor(0.1745, device='cuda:0')
tensor(0.2322, device='cuda:0')
tensor(0.0970, device='cuda:0')
tensor(0.0043, device='cuda:0')
tensor(0.1959, device='cuda:0')
tensor(0.4818, device='cuda:0')
tensor(0.0077, device='cuda:0')
tensor(0.1185, device='cuda:0')
tensor(0.0507, device='cuda:0')
tensor(0.6568, device='cuda:0')
tensor(0.0279, device='cuda:0')
tensor(0.1823, device='cuda:0')
tensor(0.0595, device='cuda:0')
tensor(0.0072, device='cuda:0')
tensor(0.0513, device='cuda:0')
tensor(0.2308, device='cuda:0')
tensor(0.2751, device='cuda:0')
tensor(0.0140, device='cuda:0')
tensor(0.5764, device='cuda:0')
tensor(0.0349, device='cuda:0')
tensor(0.1243, device='cuda:0')
tensor(0.0021, device='cuda:0')
tensor(0.0089, device='cuda:0')
tensor(0.0855, device='cuda:0')
tensor(0.2343, device='cuda:0')
tensor(0.2683, device='cuda:0')
tensor(0.0038, device='cuda:0')
tensor(0.0124, device='cuda:0')
tensor(0.4294, device='cuda:0')
tensor(0.0383, device='cuda:0')
tensor(0.1220, device='cuda:0')
tensor(0.1437, device='cuda:0')
tensor(0.2090, device='cuda:0')
tensor(0.2322, device='cuda:0')
tensor(0.0695, device='cuda:0')
tensor(0.1940, device='cuda:0')
tensor(0.0924, device='cuda:0')
tensor(0.1606, device='cuda:0')
tensor(0.3254, device='cuda:0')
tensor(0.2637, device='cuda:0')
tensor(0.1821, device='cuda:0')
tensor(0.0258, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.0648, device='cuda:0')
tensor(0.5476, device='cuda:0')
tensor(0.0906, device='cuda:0')
tensor(0.3979, device='cuda:0')
tensor(0.2208, device='cuda:0')
tensor(0.2222, device='cuda:0')
tensor(0.1855, device='cuda:0')
tensor(0.1243, device='cuda:0')
tensor(0.0161, device='cuda:0')
tensor(0.0808, device='cuda:0')
tensor(0.1283, device='cuda:0')
tensor(0.0160, device='cuda:0')
tensor(0.1031, device='cuda:0')
tensor(0.0775, device='cuda:0')
