tensor(0.1525, device='cuda:0')
tensor(0.2419, device='cuda:0')
tensor(0.7953, device='cuda:0')
tensor(0.2893, device='cuda:0')
tensor(0.0877, device='cuda:0')
tensor(0.1634, device='cuda:0')
tensor(0.4068, device='cuda:0')
tensor(0.1179, device='cuda:0')
tensor(0.3648, device='cuda:0')
tensor(1.4290, device='cuda:0')
tensor(0.1041, device='cuda:0')
tensor(0.2363, device='cuda:0')
tensor(0.8306, device='cuda:0')
tensor(0.1621, device='cuda:0')
tensor(0.3657, device='cuda:0')
tensor(0.0666, device='cuda:0')
tensor(0.0114, device='cuda:0')
tensor(0.1886, device='cuda:0')
tensor(0.1130, device='cuda:0')
tensor(0.4865, device='cuda:0')
tensor(0.1613, device='cuda:0')
tensor(0.2109, device='cuda:0')
tensor(0.1449, device='cuda:0')
tensor(0.0859, device='cuda:0')
tensor(0.5324, device='cuda:0')
tensor(0.3371, device='cuda:0')
tensor(0.4637, device='cuda:0')
tensor(0.0978, device='cuda:0')
tensor(0.2048, device='cuda:0')
tensor(0.1820, device='cuda:0')
tensor(0.3633, device='cuda:0')
tensor(0.2616, device='cuda:0')
tensor(0.0315, device='cuda:0')
tensor(0.1014, device='cuda:0')
tensor(0.6230, device='cuda:0')
tensor(0.6871, device='cuda:0')
tensor(0.1555, device='cuda:0')
tensor(0.1034, device='cuda:0')
tensor(0.0545, device='cuda:0')
tensor(0.0541, device='cuda:0')
tensor(0.0963, device='cuda:0')
tensor(0.0289, device='cuda:0')
tensor(0.0266, device='cuda:0')
tensor(0.0933, device='cuda:0')
tensor(0.5053, device='cuda:0')
tensor(0.3819, device='cuda:0')
tensor(0.4622, device='cuda:0')
tensor(0.7685, device='cuda:0')
tensor(0.1272, device='cuda:0')
tensor(0.1248, device='cuda:0')
tensor(0.1228, device='cuda:0')
tensor(0.2001, device='cuda:0')
tensor(0.0909, device='cuda:0')
tensor(0.0837, device='cuda:0')
tensor(0.1205, device='cuda:0')
tensor(0.1024, device='cuda:0')
tensor(0.0531, device='cuda:0')
tensor(0.1681, device='cuda:0')
tensor(0.5633, device='cuda:0')
tensor(0.3226, device='cuda:0')
tensor(0.4113, device='cuda:0')
tensor(0.2671, device='cuda:0')
tensor(0.1673, device='cuda:0')
tensor(0.1622, device='cuda:0')
tensor(0.2227, device='cuda:0')
tensor(0.2223, device='cuda:0')
tensor(0.0417, device='cuda:0')
tensor(0.7501, device='cuda:0')
tensor(0.0650, device='cuda:0')
tensor(0.0466, device='cuda:0')
tensor(0.2576, device='cuda:0')
tensor(0.1838, device='cuda:0')
tensor(0.1612, device='cuda:0')
tensor(0.1564, device='cuda:0')
tensor(0.1374, device='cuda:0')
tensor(0.7375, device='cuda:0')
tensor(0.5532, device='cuda:0')
tensor(0.0318, device='cuda:0')
tensor(0.1443, device='cuda:0')
tensor(0.3484, device='cuda:0')
tensor(0.4186, device='cuda:0')
tensor(0.1853, device='cuda:0')
tensor(0.1404, device='cuda:0')
tensor(0.0316, device='cuda:0')
tensor(0.0708, device='cuda:0')
tensor(0.0871, device='cuda:0')
tensor(0.5658, device='cuda:0')
tensor(0.5651, device='cuda:0')
