tensor(0.2447, device='cuda:0')
tensor(0.6007, device='cuda:0')
tensor(0.1645, device='cuda:0')
tensor(0.2030, device='cuda:0')
tensor(0.4193, device='cuda:0')
tensor(0.4013, device='cuda:0')
tensor(0.3401, device='cuda:0')
tensor(0.5913, device='cuda:0')
tensor(0.0573, device='cuda:0')
tensor(0.6383, device='cuda:0')
tensor(0.1497, device='cuda:0')
tensor(0.1087, device='cuda:0')
tensor(0.4793, device='cuda:0')
tensor(0.1400, device='cuda:0')
tensor(0.3439, device='cuda:0')
tensor(0.2921, device='cuda:0')
tensor(0.2099, device='cuda:0')
tensor(0.2893, device='cuda:0')
tensor(0.1511, device='cuda:0')
tensor(0.2430, device='cuda:0')
tensor(0.1391, device='cuda:0')
tensor(0.4889, device='cuda:0')
tensor(0.6731, device='cuda:0')
tensor(0.5467, device='cuda:0')
tensor(0.1027, device='cuda:0')
tensor(0.2613, device='cuda:0')
tensor(0.1039, device='cuda:0')
tensor(0.3920, device='cuda:0')
tensor(0.3426, device='cuda:0')
tensor(0.6474, device='cuda:0')
tensor(0.0662, device='cuda:0')
tensor(0.2063, device='cuda:0')
tensor(0.1383, device='cuda:0')
tensor(0.2163, device='cuda:0')
tensor(0.2170, device='cuda:0')
tensor(0.1146, device='cuda:0')
tensor(0.5380, device='cuda:0')
tensor(0.2312, device='cuda:0')
tensor(0.1744, device='cuda:0')
tensor(0.6860, device='cuda:0')
tensor(0.2802, device='cuda:0')
tensor(0.8245, device='cuda:0')
tensor(0.7826, device='cuda:0')
tensor(0.3925, device='cuda:0')
tensor(0.0429, device='cuda:0')
tensor(0.3674, device='cuda:0')
tensor(0.2134, device='cuda:0')
tensor(0.2884, device='cuda:0')
tensor(0.2361, device='cuda:0')
tensor(0.4573, device='cuda:0')
tensor(0.2180, device='cuda:0')
tensor(0.9968, device='cuda:0')
tensor(0.0367, device='cuda:0')
tensor(0.2907, device='cuda:0')
tensor(0.2455, device='cuda:0')
tensor(0.4489, device='cuda:0')
tensor(0.5418, device='cuda:0')
tensor(0.1478, device='cuda:0')
tensor(0.4167, device='cuda:0')
tensor(0.1658, device='cuda:0')
tensor(0.2293, device='cuda:0')
tensor(0.2687, device='cuda:0')
tensor(0.2864, device='cuda:0')
tensor(0.1603, device='cuda:0')
tensor(0.3789, device='cuda:0')
tensor(0.3189, device='cuda:0')
tensor(0.3046, device='cuda:0')
tensor(0.0897, device='cuda:0')
tensor(0.0280, device='cuda:0')
tensor(0.1333, device='cuda:0')
tensor(0.4141, device='cuda:0')
tensor(0.3755, device='cuda:0')
tensor(0.3842, device='cuda:0')
tensor(0.2943, device='cuda:0')
tensor(1.1132, device='cuda:0')
tensor(0.2487, device='cuda:0')
tensor(0.1021, device='cuda:0')
tensor(0.2200, device='cuda:0')
tensor(0.0500, device='cuda:0')
tensor(0.7181, device='cuda:0')
tensor(0.2065, device='cuda:0')
tensor(0.2767, device='cuda:0')
tensor(0.0774, device='cuda:0')
tensor(0.6075, device='cuda:0')
tensor(0.3496, device='cuda:0')
tensor(0.2556, device='cuda:0')
tensor(0.5602, device='cuda:0')
tensor(0.1287, device='cuda:0')
tensor(0.2477, device='cuda:0')
tensor(0.0602, device='cuda:0')
tensor(0.0562, device='cuda:0')
