tensor(1.2072, device='cuda:0')
tensor(0.9918, device='cuda:0')
tensor(0.9111, device='cuda:0')
tensor(1.1868, device='cuda:0')
tensor(1.0032, device='cuda:0')
tensor(1.1165, device='cuda:0')
tensor(1.0852, device='cuda:0')
tensor(1.0454, device='cuda:0')
tensor(1.2146, device='cuda:0')
tensor(1.1641, device='cuda:0')
tensor(1.1639, device='cuda:0')
tensor(1.2145, device='cuda:0')
tensor(1.2771, device='cuda:0')
tensor(1.0103, device='cuda:0')
tensor(1.0198, device='cuda:0')
tensor(1.0063, device='cuda:0')
tensor(1.1480, device='cuda:0')
tensor(0.9619, device='cuda:0')
tensor(0.9093, device='cuda:0')
tensor(1.0096, device='cuda:0')
tensor(0.8912, device='cuda:0')
tensor(1.1463, device='cuda:0')
tensor(1.1367, device='cuda:0')
tensor(1.0693, device='cuda:0')
tensor(1.0127, device='cuda:0')
tensor(1.0891, device='cuda:0')
tensor(0.9207, device='cuda:0')
tensor(1.1547, device='cuda:0')
tensor(1.0392, device='cuda:0')
tensor(0.9982, device='cuda:0')
tensor(1.0906, device='cuda:0')
tensor(1.0627, device='cuda:0')
tensor(0.8647, device='cuda:0')
tensor(0.8441, device='cuda:0')
tensor(0.9580, device='cuda:0')
tensor(1.2334, device='cuda:0')
tensor(0.7484, device='cuda:0')
tensor(1.2236, device='cuda:0')
tensor(1.0460, device='cuda:0')
tensor(0.8256, device='cuda:0')
tensor(0.8069, device='cuda:0')
tensor(1.1408, device='cuda:0')
tensor(0.7809, device='cuda:0')
tensor(0.9010, device='cuda:0')
tensor(1.0553, device='cuda:0')
tensor(0.9615, device='cuda:0')
tensor(0.9887, device='cuda:0')
tensor(1.0731, device='cuda:0')
tensor(1.0491, device='cuda:0')
tensor(1.0912, device='cuda:0')
tensor(1.0617, device='cuda:0')
tensor(0.9211, device='cuda:0')
tensor(1.0397, device='cuda:0')
tensor(0.9287, device='cuda:0')
tensor(0.9489, device='cuda:0')
tensor(1.0874, device='cuda:0')
tensor(0.9978, device='cuda:0')
tensor(0.8278, device='cuda:0')
tensor(0.9704, device='cuda:0')
tensor(1.1738, device='cuda:0')
tensor(0.8784, device='cuda:0')
tensor(1.1079, device='cuda:0')
tensor(0.8568, device='cuda:0')
tensor(0.9256, device='cuda:0')
tensor(1.2702, device='cuda:0')
tensor(1.0566, device='cuda:0')
tensor(0.9330, device='cuda:0')
tensor(1.0009, device='cuda:0')
tensor(0.8306, device='cuda:0')
tensor(0.9075, device='cuda:0')
tensor(1.1354, device='cuda:0')
tensor(0.9204, device='cuda:0')
tensor(0.8704, device='cuda:0')
tensor(0.8671, device='cuda:0')
tensor(1.0330, device='cuda:0')
tensor(0.8977, device='cuda:0')
tensor(1.2989, device='cuda:0')
tensor(1.0401, device='cuda:0')
tensor(1.1073, device='cuda:0')
tensor(1.0584, device='cuda:0')
tensor(0.9939, device='cuda:0')
tensor(0.9597, device='cuda:0')
tensor(1.1211, device='cuda:0')
tensor(0.8743, device='cuda:0')
tensor(1.3244, device='cuda:0')
tensor(0.7805, device='cuda:0')
tensor(0.9319, device='cuda:0')
tensor(1.3067, device='cuda:0')
tensor(0.8497, device='cuda:0')
tensor(0.8028, device='cuda:0')
tensor(0.9090, device='cuda:0')
tensor(1.0004, device='cuda:0')
tensor(0.9568, device='cuda:0')
tensor(0.8842, device='cuda:0')
tensor(1.0480, device='cuda:0')
tensor(0.9178, device='cuda:0')
tensor(1.0613, device='cuda:0')
tensor(0.8851, device='cuda:0')
tensor(0.9946, device='cuda:0')
tensor(0.8663, device='cuda:0')
tensor(0.8369, device='cuda:0')
tensor(0.6682, device='cuda:0')
tensor(0.7881, device='cuda:0')
tensor(0.9877, device='cuda:0')
tensor(0.9822, device='cuda:0')
tensor(0.9421, device='cuda:0')
tensor(0.7651, device='cuda:0')
tensor(0.9576, device='cuda:0')
tensor(0.8697, device='cuda:0')
tensor(1.0917, device='cuda:0')
tensor(1.1009, device='cuda:0')
tensor(1.1246, device='cuda:0')
tensor(0.9280, device='cuda:0')
tensor(1.1141, device='cuda:0')
tensor(1.3560, device='cuda:0')
tensor(0.9638, device='cuda:0')
tensor(0.8966, device='cuda:0')
tensor(0.8997, device='cuda:0')
tensor(1.0352, device='cuda:0')
tensor(1.0133, device='cuda:0')
tensor(1.1090, device='cuda:0')
tensor(1.0053, device='cuda:0')
tensor(0.7923, device='cuda:0')
tensor(0.7603, device='cuda:0')
tensor(0.9413, device='cuda:0')
tensor(1.0358, device='cuda:0')
tensor(0.9303, device='cuda:0')
tensor(1.0678, device='cuda:0')
tensor(0.7588, device='cuda:0')
tensor(0.7831, device='cuda:0')
tensor(0.9358, device='cuda:0')
tensor(0.8871, device='cuda:0')
tensor(0.8674, device='cuda:0')
tensor(0.9119, device='cuda:0')
tensor(1.0221, device='cuda:0')
tensor(1.0487, device='cuda:0')
tensor(1.2075, device='cuda:0')
tensor(1.0319, device='cuda:0')
tensor(1.2576, device='cuda:0')
tensor(1.0223, device='cuda:0')
tensor(1.1126, device='cuda:0')
tensor(1.2681, device='cuda:0')
tensor(1.0121, device='cuda:0')
tensor(0.9948, device='cuda:0')
tensor(1.1671, device='cuda:0')
tensor(1.0522, device='cuda:0')
tensor(0.9178, device='cuda:0')
tensor(0.8726, device='cuda:0')
tensor(0.8770, device='cuda:0')
tensor(0.9332, device='cuda:0')
tensor(0.9880, device='cuda:0')
tensor(1.1988, device='cuda:0')
tensor(0.8304, device='cuda:0')
tensor(1.0200, device='cuda:0')
tensor(1.1217, device='cuda:0')
tensor(1.0229, device='cuda:0')
tensor(1.0428, device='cuda:0')
tensor(0.7563, device='cuda:0')
tensor(0.9282, device='cuda:0')
tensor(0.8662, device='cuda:0')
tensor(0.7629, device='cuda:0')
tensor(0.9726, device='cuda:0')
tensor(0.9530, device='cuda:0')
tensor(1.0409, device='cuda:0')
tensor(1.0937, device='cuda:0')
tensor(0.9744, device='cuda:0')
tensor(0.9353, device='cuda:0')
tensor(1.0859, device='cuda:0')
tensor(0.8963, device='cuda:0')
tensor(0.9893, device='cuda:0')
tensor(1.0258, device='cuda:0')
tensor(0.9598, device='cuda:0')
tensor(0.9080, device='cuda:0')
tensor(1.0888, device='cuda:0')
tensor(1.1640, device='cuda:0')
tensor(0.9195, device='cuda:0')
tensor(0.8116, device='cuda:0')
tensor(1.0255, device='cuda:0')
tensor(0.9708, device='cuda:0')
tensor(1.0020, device='cuda:0')
tensor(0.8734, device='cuda:0')
tensor(0.9875, device='cuda:0')
tensor(0.8647, device='cuda:0')
tensor(0.8666, device='cuda:0')
tensor(0.6721, device='cuda:0')
tensor(0.8714, device='cuda:0')
tensor(1.0911, device='cuda:0')
tensor(0.8027, device='cuda:0')
tensor(0.9456, device='cuda:0')
tensor(1.0473, device='cuda:0')
tensor(0.9609, device='cuda:0')
tensor(0.9731, device='cuda:0')
tensor(1.0415, device='cuda:0')
tensor(1.0547, device='cuda:0')
tensor(0.8901, device='cuda:0')
tensor(0.9918, device='cuda:0')
tensor(0.8645, device='cuda:0')
tensor(1.1916, device='cuda:0')
tensor(0.7773, device='cuda:0')
tensor(1.3299, device='cuda:0')
tensor(0.6995, device='cuda:0')
tensor(1.1865, device='cuda:0')
tensor(0.7419, device='cuda:0')
tensor(1.0125, device='cuda:0')
tensor(1.0333, device='cuda:0')
tensor(0.9479, device='cuda:0')
tensor(0.9877, device='cuda:0')
tensor(0.9501, device='cuda:0')
tensor(0.7915, device='cuda:0')
tensor(0.9789, device='cuda:0')
tensor(0.7956, device='cuda:0')
tensor(1.0155, device='cuda:0')
tensor(1.2695, device='cuda:0')
tensor(0.9365, device='cuda:0')
tensor(1.1391, device='cuda:0')
tensor(0.7731, device='cuda:0')
tensor(0.6554, device='cuda:0')
tensor(1.0528, device='cuda:0')
tensor(0.9166, device='cuda:0')
tensor(0.9877, device='cuda:0')
tensor(1.1726, device='cuda:0')
tensor(1.2387, device='cuda:0')
tensor(0.9010, device='cuda:0')
tensor(1.4854, device='cuda:0')
tensor(1.1860, device='cuda:0')
tensor(0.7965, device='cuda:0')
tensor(0.8197, device='cuda:0')
tensor(1.0496, device='cuda:0')
tensor(0.8564, device='cuda:0')
tensor(0.7571, device='cuda:0')
tensor(1.1079, device='cuda:0')
tensor(0.8805, device='cuda:0')
tensor(0.9969, device='cuda:0')
tensor(0.6975, device='cuda:0')
tensor(0.9515, device='cuda:0')
tensor(0.9249, device='cuda:0')
tensor(0.8924, device='cuda:0')
tensor(0.8322, device='cuda:0')
tensor(0.9561, device='cuda:0')
tensor(0.9400, device='cuda:0')
tensor(1.0013, device='cuda:0')
tensor(0.9394, device='cuda:0')
tensor(0.9337, device='cuda:0')
tensor(1.2094, device='cuda:0')
tensor(1.0271, device='cuda:0')
tensor(1.4979, device='cuda:0')
tensor(1.2226, device='cuda:0')
tensor(0.8859, device='cuda:0')
tensor(0.9510, device='cuda:0')
tensor(0.6999, device='cuda:0')
tensor(0.8116, device='cuda:0')
tensor(0.8559, device='cuda:0')
tensor(0.7953, device='cuda:0')
tensor(0.9642, device='cuda:0')
tensor(0.8443, device='cuda:0')
tensor(0.7709, device='cuda:0')
tensor(0.8035, device='cuda:0')
tensor(0.7150, device='cuda:0')
tensor(0.7507, device='cuda:0')
tensor(0.9499, device='cuda:0')
tensor(1.0180, device='cuda:0')
tensor(1.1264, device='cuda:0')
tensor(0.7003, device='cuda:0')
tensor(0.9359, device='cuda:0')
tensor(1.1117, device='cuda:0')
tensor(1.1748, device='cuda:0')
tensor(0.8429, device='cuda:0')
tensor(0.9804, device='cuda:0')
tensor(0.8261, device='cuda:0')
tensor(1.0319, device='cuda:0')
tensor(0.8068, device='cuda:0')
tensor(0.7351, device='cuda:0')
tensor(1.1084, device='cuda:0')
tensor(0.7592, device='cuda:0')
tensor(1.0735, device='cuda:0')
tensor(0.9141, device='cuda:0')
tensor(1.1737, device='cuda:0')
tensor(1.0092, device='cuda:0')
tensor(1.2122, device='cuda:0')
tensor(1.0543, device='cuda:0')
tensor(0.7472, device='cuda:0')
tensor(1.0676, device='cuda:0')
tensor(0.8725, device='cuda:0')
tensor(1.2019, device='cuda:0')
tensor(0.7918, device='cuda:0')
tensor(0.9870, device='cuda:0')
tensor(0.9180, device='cuda:0')
tensor(0.7955, device='cuda:0')
tensor(0.9948, device='cuda:0')
tensor(0.7657, device='cuda:0')
tensor(1.0059, device='cuda:0')
tensor(0.8374, device='cuda:0')
tensor(1.0713, device='cuda:0')
tensor(0.9196, device='cuda:0')
tensor(1.0901, device='cuda:0')
tensor(0.8309, device='cuda:0')
tensor(0.9344, device='cuda:0')
tensor(0.9892, device='cuda:0')
tensor(1.0555, device='cuda:0')
tensor(0.9437, device='cuda:0')
tensor(0.7371, device='cuda:0')
tensor(1.0216, device='cuda:0')
tensor(1.2627, device='cuda:0')
tensor(1.0658, device='cuda:0')
tensor(0.9823, device='cuda:0')
tensor(0.9066, device='cuda:0')
tensor(0.7680, device='cuda:0')
tensor(1.1051, device='cuda:0')
tensor(0.7165, device='cuda:0')
tensor(0.8665, device='cuda:0')
tensor(1.1154, device='cuda:0')
tensor(1.0156, device='cuda:0')
tensor(0.8069, device='cuda:0')
tensor(0.8870, device='cuda:0')
tensor(0.9412, device='cuda:0')
tensor(0.9361, device='cuda:0')
tensor(0.8991, device='cuda:0')
tensor(1.0499, device='cuda:0')
tensor(0.7483, device='cuda:0')
tensor(0.7015, device='cuda:0')
tensor(1.3331, device='cuda:0')
tensor(1.1237, device='cuda:0')
tensor(0.7770, device='cuda:0')
tensor(1.0592, device='cuda:0')
tensor(1.2711, device='cuda:0')
tensor(0.9414, device='cuda:0')
tensor(0.8498, device='cuda:0')
tensor(0.9179, device='cuda:0')
tensor(0.8718, device='cuda:0')
tensor(0.8764, device='cuda:0')
tensor(0.7301, device='cuda:0')
tensor(0.7780, device='cuda:0')
tensor(1.0263, device='cuda:0')
tensor(1.2053, device='cuda:0')
tensor(0.9708, device='cuda:0')
tensor(0.8870, device='cuda:0')
tensor(1.0577, device='cuda:0')
