tensor(0.2225, device='cuda:0')
tensor(0.1009, device='cuda:0')
tensor(0.2097, device='cuda:0')
tensor(0.2093, device='cuda:0')
tensor(0.1810, device='cuda:0')
tensor(0.2088, device='cuda:0')
tensor(0.1157, device='cuda:0')
tensor(0.1144, device='cuda:0')
tensor(0.1574, device='cuda:0')
tensor(0.0518, device='cuda:0')
tensor(0.0666, device='cuda:0')
tensor(0.5059, device='cuda:0')
tensor(0.0153, device='cuda:0')
tensor(0.2349, device='cuda:0')
tensor(0.3723, device='cuda:0')
tensor(0.5517, device='cuda:0')
tensor(0.1489, device='cuda:0')
tensor(0.2500, device='cuda:0')
tensor(0.0039, device='cuda:0')
tensor(0.3216, device='cuda:0')
tensor(0.1331, device='cuda:0')
tensor(0.0155, device='cuda:0')
tensor(0.4296, device='cuda:0')
tensor(0.1850, device='cuda:0')
tensor(0.0146, device='cuda:0')
tensor(0.2113, device='cuda:0')
tensor(0.0043, device='cuda:0')
tensor(0.1697, device='cuda:0')
tensor(0.1679, device='cuda:0')
tensor(0.1759, device='cuda:0')
tensor(0.0016, device='cuda:0')
tensor(0.0113, device='cuda:0')
tensor(0.6441, device='cuda:0')
tensor(0.0649, device='cuda:0')
tensor(0.0129, device='cuda:0')
tensor(0.1308, device='cuda:0')
tensor(0.0057, device='cuda:0')
tensor(0.0136, device='cuda:0')
tensor(0.0277, device='cuda:0')
tensor(0.1430, device='cuda:0')
tensor(0.0050, device='cuda:0')
tensor(0.4345, device='cuda:0')
tensor(0.1149, device='cuda:0')
tensor(0.1206, device='cuda:0')
tensor(0.0139, device='cuda:0')
tensor(0.0123, device='cuda:0')
tensor(0.0566, device='cuda:0')
tensor(0.0148, device='cuda:0')
tensor(0.0432, device='cuda:0')
tensor(0.3740, device='cuda:0')
tensor(0.0783, device='cuda:0')
tensor(0.3274, device='cuda:0')
tensor(0.0192, device='cuda:0')
tensor(0.0804, device='cuda:0')
tensor(0.1012, device='cuda:0')
tensor(0.1623, device='cuda:0')
tensor(0.3231, device='cuda:0')
tensor(0.0089, device='cuda:0')
tensor(0.1158, device='cuda:0')
tensor(0.1647, device='cuda:0')
tensor(0.1184, device='cuda:0')
tensor(0.0280, device='cuda:0')
tensor(0.0489, device='cuda:0')
tensor(0.1397, device='cuda:0')
tensor(0.0874, device='cuda:0')
tensor(0.0448, device='cuda:0')
tensor(0.0041, device='cuda:0')
tensor(0.1903, device='cuda:0')
tensor(0.0333, device='cuda:0')
tensor(0.0047, device='cuda:0')
tensor(0.0083, device='cuda:0')
tensor(0.2812, device='cuda:0')
tensor(0.2229, device='cuda:0')
tensor(0.0138, device='cuda:0')
tensor(0.0019, device='cuda:0')
tensor(0.5114, device='cuda:0')
tensor(0.0637, device='cuda:0')
tensor(0.1139, device='cuda:0')
tensor(0.1233, device='cuda:0')
tensor(0.0389, device='cuda:0')
tensor(0.0482, device='cuda:0')
tensor(0.0121, device='cuda:0')
tensor(0.0094, device='cuda:0')
tensor(0.0339, device='cuda:0')
tensor(0.0350, device='cuda:0')
tensor(0.5008, device='cuda:0')
tensor(0.2969, device='cuda:0')
tensor(0.1710, device='cuda:0')
tensor(0.1032, device='cuda:0')
tensor(0.5268, device='cuda:0')
tensor(0.1765, device='cuda:0')
tensor(0.0102, device='cuda:0')
tensor(0.1398, device='cuda:0')
tensor(0.3861, device='cuda:0')
tensor(0.2216, device='cuda:0')
tensor(0.0078, device='cuda:0')
tensor(0.6198, device='cuda:0')
tensor(0.0153, device='cuda:0')
tensor(0.1783, device='cuda:0')
tensor(0.3003, device='cuda:0')
tensor(0.2784, device='cuda:0')
tensor(0.2109, device='cuda:0')
tensor(0.4530, device='cuda:0')
tensor(0.3425, device='cuda:0')
tensor(0.0669, device='cuda:0')
tensor(0.1404, device='cuda:0')
tensor(0.0672, device='cuda:0')
tensor(0.1417, device='cuda:0')
tensor(0.0686, device='cuda:0')
tensor(0.3180, device='cuda:0')
tensor(0.2474, device='cuda:0')
tensor(0.3826, device='cuda:0')
tensor(0.1425, device='cuda:0')
tensor(0.0738, device='cuda:0')
tensor(0.0131, device='cuda:0')
tensor(0.0036, device='cuda:0')
tensor(0.0840, device='cuda:0')
tensor(0.0636, device='cuda:0')
tensor(0.0955, device='cuda:0')
tensor(0.0093, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.1001, device='cuda:0')
tensor(0.2819, device='cuda:0')
tensor(0.0323, device='cuda:0')
tensor(0.0467, device='cuda:0')
tensor(0.1700, device='cuda:0')
tensor(0.0133, device='cuda:0')
tensor(0.0031, device='cuda:0')
tensor(0.3778, device='cuda:0')
tensor(0.0222, device='cuda:0')
tensor(0.0174, device='cuda:0')
tensor(0.0564, device='cuda:0')
tensor(0.6265, device='cuda:0')
tensor(0.0035, device='cuda:0')
tensor(0.3065, device='cuda:0')
tensor(0.0470, device='cuda:0')
tensor(0.0043, device='cuda:0')
tensor(0.2107, device='cuda:0')
tensor(0.0975, device='cuda:0')
tensor(0.0014, device='cuda:0')
tensor(0.0690, device='cuda:0')
tensor(0.5091, device='cuda:0')
tensor(0.1031, device='cuda:0')
tensor(0.0107, device='cuda:0')
tensor(0.1896, device='cuda:0')
tensor(0.0733, device='cuda:0')
tensor(0.0598, device='cuda:0')
tensor(0.1671, device='cuda:0')
tensor(0.0302, device='cuda:0')
tensor(0.0757, device='cuda:0')
tensor(0.0105, device='cuda:0')
tensor(0.0209, device='cuda:0')
tensor(0.0159, device='cuda:0')
tensor(0.0026, device='cuda:0')
tensor(0.2244, device='cuda:0')
tensor(0.4153, device='cuda:0')
tensor(0.0653, device='cuda:0')
tensor(0.0652, device='cuda:0')
tensor(0.0980, device='cuda:0')
tensor(0.0785, device='cuda:0')
tensor(0.2330, device='cuda:0')
tensor(0.2049, device='cuda:0')
tensor(0.0917, device='cuda:0')
tensor(0.1216, device='cuda:0')
tensor(0.0728, device='cuda:0')
tensor(0.0008, device='cuda:0')
tensor(0.0904, device='cuda:0')
tensor(0.2182, device='cuda:0')
tensor(0.0853, device='cuda:0')
tensor(0.0050, device='cuda:0')
tensor(0.4303, device='cuda:0')
tensor(0.1242, device='cuda:0')
tensor(0.1392, device='cuda:0')
tensor(0.1808, device='cuda:0')
tensor(0.2984, device='cuda:0')
tensor(0.0672, device='cuda:0')
tensor(0.0017, device='cuda:0')
