tensor(0.2632, device='cuda:0')
tensor(0.2671, device='cuda:0')
tensor(0.1431, device='cuda:0')
tensor(0.0422, device='cuda:0')
tensor(0.2443, device='cuda:0')
tensor(0.0118, device='cuda:0')
tensor(0.2695, device='cuda:0')
tensor(0.1321, device='cuda:0')
tensor(0.0243, device='cuda:0')
tensor(0.1103, device='cuda:0')
tensor(0.2792, device='cuda:0')
tensor(0.0120, device='cuda:0')
tensor(0.0029, device='cuda:0')
tensor(0.0893, device='cuda:0')
tensor(0.0156, device='cuda:0')
tensor(0.0154, device='cuda:0')
tensor(0.0235, device='cuda:0')
tensor(0.1103, device='cuda:0')
tensor(0.0401, device='cuda:0')
tensor(0.1975, device='cuda:0')
tensor(0.9451, device='cuda:0')
tensor(0.4066, device='cuda:0')
tensor(0.0627, device='cuda:0')
tensor(0.0094, device='cuda:0')
tensor(0.1552, device='cuda:0')
tensor(0.0746, device='cuda:0')
tensor(0.0355, device='cuda:0')
tensor(0.0494, device='cuda:0')
tensor(0.0331, device='cuda:0')
tensor(0.2060, device='cuda:0')
tensor(0.0218, device='cuda:0')
tensor(0.0201, device='cuda:0')
tensor(0.2983, device='cuda:0')
tensor(0.2827, device='cuda:0')
tensor(0.0898, device='cuda:0')
tensor(0.0005, device='cuda:0')
tensor(0.0839, device='cuda:0')
tensor(0.2271, device='cuda:0')
tensor(0.1208, device='cuda:0')
tensor(0.2079, device='cuda:0')
tensor(0.0289, device='cuda:0')
tensor(0.0008, device='cuda:0')
tensor(0.2008, device='cuda:0')
tensor(0.0012, device='cuda:0')
tensor(0.0400, device='cuda:0')
tensor(0.4013, device='cuda:0')
tensor(0.0246, device='cuda:0')
tensor(0.0505, device='cuda:0')
tensor(0.0388, device='cuda:0')
tensor(0.1199, device='cuda:0')
tensor(0.0222, device='cuda:0')
tensor(0.2629, device='cuda:0')
tensor(0.0957, device='cuda:0')
tensor(0.0835, device='cuda:0')
tensor(0.1393, device='cuda:0')
tensor(0.0982, device='cuda:0')
tensor(0.2703, device='cuda:0')
tensor(0.0943, device='cuda:0')
tensor(0.3019, device='cuda:0')
tensor(0.4980, device='cuda:0')
tensor(0.2179, device='cuda:0')
tensor(0.0137, device='cuda:0')
tensor(0.0330, device='cuda:0')
tensor(0.0878, device='cuda:0')
tensor(0.4419, device='cuda:0')
tensor(0.1084, device='cuda:0')
tensor(0.2034, device='cuda:0')
tensor(0.0746, device='cuda:0')
tensor(0.2685, device='cuda:0')
tensor(0.1824, device='cuda:0')
tensor(0.0040, device='cuda:0')
tensor(0.3529, device='cuda:0')
tensor(0.0755, device='cuda:0')
tensor(0.1276, device='cuda:0')
tensor(0.2790, device='cuda:0')
tensor(0.0029, device='cuda:0')
tensor(0.1132, device='cuda:0')
tensor(0.1044, device='cuda:0')
tensor(0.2250, device='cuda:0')
tensor(0.0169, device='cuda:0')
tensor(0.0835, device='cuda:0')
tensor(0.0410, device='cuda:0')
tensor(0.0039, device='cuda:0')
tensor(0.0179, device='cuda:0')
tensor(0.0648, device='cuda:0')
tensor(0.2304, device='cuda:0')
tensor(0.3274, device='cuda:0')
tensor(0.2823, device='cuda:0')
tensor(0.1235, device='cuda:0')
tensor(0.1180, device='cuda:0')
tensor(0.0189, device='cuda:0')
tensor(0.2055, device='cuda:0')
tensor(0.0497, device='cuda:0')
tensor(0.0515, device='cuda:0')
tensor(0.0693, device='cuda:0')
tensor(0.1769, device='cuda:0')
tensor(0.1928, device='cuda:0')
tensor(0.3446, device='cuda:0')
tensor(0.0398, device='cuda:0')
tensor(0.2646, device='cuda:0')
tensor(0.2048, device='cuda:0')
tensor(0.0116, device='cuda:0')
tensor(0.2909, device='cuda:0')
tensor(0.5397, device='cuda:0')
tensor(0.0491, device='cuda:0')
tensor(0.0050, device='cuda:0')
tensor(0.0573, device='cuda:0')
tensor(0.0828, device='cuda:0')
tensor(0.0657, device='cuda:0')
tensor(0.0085, device='cuda:0')
tensor(0.0015, device='cuda:0')
tensor(0.0396, device='cuda:0')
tensor(0.1057, device='cuda:0')
tensor(0.3177, device='cuda:0')
tensor(0.0532, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.2561, device='cuda:0')
tensor(0.0472, device='cuda:0')
tensor(0.0245, device='cuda:0')
tensor(0.0833, device='cuda:0')
tensor(0.5372, device='cuda:0')
tensor(0.0019, device='cuda:0')
tensor(0.1259, device='cuda:0')
tensor(0.0976, device='cuda:0')
tensor(0.0175, device='cuda:0')
tensor(0.1517, device='cuda:0')
tensor(0.1582, device='cuda:0')
tensor(0.1394, device='cuda:0')
tensor(0.7586, device='cuda:0')
tensor(0.0073, device='cuda:0')
tensor(0.5686, device='cuda:0')
tensor(0.0187, device='cuda:0')
tensor(0.0923, device='cuda:0')
tensor(0.0842, device='cuda:0')
tensor(0.2017, device='cuda:0')
tensor(0.0041, device='cuda:0')
tensor(0.1373, device='cuda:0')
tensor(0.2754, device='cuda:0')
tensor(0.2799, device='cuda:0')
tensor(0.0673, device='cuda:0')
tensor(0.0163, device='cuda:0')
tensor(0.2734, device='cuda:0')
tensor(0.3600, device='cuda:0')
tensor(0.0132, device='cuda:0')
tensor(0.0973, device='cuda:0')
tensor(0.1041, device='cuda:0')
tensor(0.0505, device='cuda:0')
tensor(0.2353, device='cuda:0')
tensor(0.0968, device='cuda:0')
tensor(0.0143, device='cuda:0')
tensor(0.1748, device='cuda:0')
tensor(0.1371, device='cuda:0')
tensor(0.0610, device='cuda:0')
tensor(0.2991, device='cuda:0')
tensor(0.0655, device='cuda:0')
tensor(0.0173, device='cuda:0')
tensor(0.1507, device='cuda:0')
tensor(0.3168, device='cuda:0')
tensor(0.1745, device='cuda:0')
tensor(0.0397, device='cuda:0')
tensor(0.3872, device='cuda:0')
tensor(0.1577, device='cuda:0')
tensor(0.0487, device='cuda:0')
tensor(0.2018, device='cuda:0')
tensor(0.0236, device='cuda:0')
tensor(0.1374, device='cuda:0')
tensor(0.2408, device='cuda:0')
tensor(0.0280, device='cuda:0')
tensor(0.0057, device='cuda:0')
tensor(0.0101, device='cuda:0')
tensor(0.0781, device='cuda:0')
tensor(0.0097, device='cuda:0')
tensor(0.0179, device='cuda:0')
tensor(0.0465, device='cuda:0')
tensor(0.0934, device='cuda:0')
tensor(0.0038, device='cuda:0')
tensor(0.2545, device='cuda:0')
tensor(0.0997, device='cuda:0')
tensor(0.1055, device='cuda:0')
tensor(0.0105, device='cuda:0')
tensor(0.0751, device='cuda:0')
tensor(0.0569, device='cuda:0')
tensor(0.2685, device='cuda:0')
tensor(0.3915, device='cuda:0')
tensor(0.1765, device='cuda:0')
tensor(0.3504, device='cuda:0')
tensor(0.1262, device='cuda:0')
tensor(0.0024, device='cuda:0')
tensor(0.0248, device='cuda:0')
tensor(0.1031, device='cuda:0')
tensor(0.1460, device='cuda:0')
tensor(0.1243, device='cuda:0')
tensor(0.0715, device='cuda:0')
tensor(0.0061, device='cuda:0')
tensor(0.2290, device='cuda:0')
tensor(0.1436, device='cuda:0')
tensor(0.0071, device='cuda:0')
tensor(0.3732, device='cuda:0')
tensor(0.0606, device='cuda:0')
tensor(0.2165, device='cuda:0')
tensor(0.1535, device='cuda:0')
tensor(0.0032, device='cuda:0')
tensor(0.0695, device='cuda:0')
tensor(0.1119, device='cuda:0')
tensor(0.0697, device='cuda:0')
tensor(0.2584, device='cuda:0')
tensor(0.1455, device='cuda:0')
tensor(0.1710, device='cuda:0')
tensor(0.1455, device='cuda:0')
tensor(0.0113, device='cuda:0')
tensor(0.0776, device='cuda:0')
tensor(0.0994, device='cuda:0')
tensor(0.0411, device='cuda:0')
tensor(0.1250, device='cuda:0')
tensor(0.1378, device='cuda:0')
tensor(0.0384, device='cuda:0')
tensor(0.0634, device='cuda:0')
tensor(0.0116, device='cuda:0')
tensor(0.0321, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.1761, device='cuda:0')
tensor(0.1278, device='cuda:0')
tensor(0.1568, device='cuda:0')
tensor(0.1051, device='cuda:0')
tensor(0.1751, device='cuda:0')
tensor(0.1374, device='cuda:0')
tensor(0.0987, device='cuda:0')
tensor(0.0126, device='cuda:0')
tensor(0.1645, device='cuda:0')
tensor(0.1996, device='cuda:0')
tensor(0.0635, device='cuda:0')
tensor(0.0137, device='cuda:0')
tensor(0.1168, device='cuda:0')
tensor(0.0167, device='cuda:0')
tensor(0.1020, device='cuda:0')
tensor(0.1107, device='cuda:0')
tensor(0.0267, device='cuda:0')
tensor(0.2031, device='cuda:0')
tensor(0.1376, device='cuda:0')
tensor(0.0142, device='cuda:0')
tensor(0.0980, device='cuda:0')
tensor(0.0060, device='cuda:0')
tensor(0.1664, device='cuda:0')
tensor(0.3934, device='cuda:0')
tensor(0.0794, device='cuda:0')
tensor(0.0059, device='cuda:0')
tensor(0.1998, device='cuda:0')
tensor(0.0652, device='cuda:0')
tensor(0.4039, device='cuda:0')
tensor(0.0673, device='cuda:0')
tensor(0.0552, device='cuda:0')
tensor(0.3228, device='cuda:0')
tensor(0.1907, device='cuda:0')
tensor(0.0836, device='cuda:0')
tensor(0.1227, device='cuda:0')
tensor(0.0866, device='cuda:0')
tensor(0.3741, device='cuda:0')
tensor(0.0615, device='cuda:0')
tensor(0.3139, device='cuda:0')
tensor(0.0056, device='cuda:0')
tensor(0.2497, device='cuda:0')
tensor(0.0724, device='cuda:0')
tensor(0.1529, device='cuda:0')
tensor(0.2729, device='cuda:0')
tensor(0.3370, device='cuda:0')
tensor(0.4134, device='cuda:0')
tensor(0.1293, device='cuda:0')
tensor(0.0020, device='cuda:0')
tensor(0.1670, device='cuda:0')
tensor(0.0356, device='cuda:0')
tensor(0.7321, device='cuda:0')
tensor(0.3708, device='cuda:0')
tensor(0.1512, device='cuda:0')
tensor(0.1312, device='cuda:0')
tensor(0.0227, device='cuda:0')
tensor(0.0054, device='cuda:0')
tensor(0.4102, device='cuda:0')
tensor(0.3297, device='cuda:0')
tensor(0.0393, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.2186, device='cuda:0')
tensor(0.1349, device='cuda:0')
tensor(0.0098, device='cuda:0')
tensor(0.1609, device='cuda:0')
tensor(0.0420, device='cuda:0')
tensor(0.0658, device='cuda:0')
tensor(0.1480, device='cuda:0')
tensor(0.2416, device='cuda:0')
tensor(0.1769, device='cuda:0')
tensor(0.0746, device='cuda:0')
tensor(0.0639, device='cuda:0')
tensor(0.0177, device='cuda:0')
tensor(0.2180, device='cuda:0')
tensor(0.0750, device='cuda:0')
tensor(0.3705, device='cuda:0')
tensor(0.0586, device='cuda:0')
tensor(0.0091, device='cuda:0')
tensor(0.1645, device='cuda:0')
tensor(0.2656, device='cuda:0')
tensor(0.0793, device='cuda:0')
tensor(0.1007, device='cuda:0')
tensor(0.0655, device='cuda:0')
tensor(0.1899, device='cuda:0')
tensor(0.0219, device='cuda:0')
tensor(0.1579, device='cuda:0')
tensor(0.0546, device='cuda:0')
tensor(0.3111, device='cuda:0')
tensor(0.0012, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.0320, device='cuda:0')
tensor(0.3605, device='cuda:0')
