tensor(0.4820, device='cuda:0')
tensor(0.1335, device='cuda:0')
tensor(0.5517, device='cuda:0')
tensor(0.6279, device='cuda:0')
tensor(0.7423, device='cuda:0')
tensor(0.4097, device='cuda:0')
tensor(0.2386, device='cuda:0')
tensor(0.2491, device='cuda:0')
tensor(0.3851, device='cuda:0')
tensor(0.3324, device='cuda:0')
tensor(0.2646, device='cuda:0')
tensor(0.3492, device='cuda:0')
tensor(0.1435, device='cuda:0')
tensor(0.3502, device='cuda:0')
tensor(0.3054, device='cuda:0')
tensor(0.5664, device='cuda:0')
tensor(0.2906, device='cuda:0')
tensor(0.4403, device='cuda:0')
tensor(0.2378, device='cuda:0')
tensor(0.3768, device='cuda:0')
tensor(0.3439, device='cuda:0')
tensor(0.4723, device='cuda:0')
tensor(0.3017, device='cuda:0')
tensor(0.4710, device='cuda:0')
tensor(0.1962, device='cuda:0')
tensor(0.1726, device='cuda:0')
tensor(0.1046, device='cuda:0')
tensor(0.2999, device='cuda:0')
tensor(0.1540, device='cuda:0')
tensor(0.2627, device='cuda:0')
tensor(0.8060, device='cuda:0')
tensor(0.5231, device='cuda:0')
tensor(0.4266, device='cuda:0')
tensor(0.2118, device='cuda:0')
tensor(0.2624, device='cuda:0')
tensor(1.0269, device='cuda:0')
tensor(0.2439, device='cuda:0')
tensor(0.0917, device='cuda:0')
tensor(0.4185, device='cuda:0')
tensor(0.4417, device='cuda:0')
tensor(0.3480, device='cuda:0')
tensor(0.4208, device='cuda:0')
tensor(0.2012, device='cuda:0')
tensor(0.3925, device='cuda:0')
tensor(0.0764, device='cuda:0')
tensor(0.1458, device='cuda:0')
tensor(0.0960, device='cuda:0')
tensor(0.3777, device='cuda:0')
tensor(0.2913, device='cuda:0')
tensor(0.5250, device='cuda:0')
tensor(0.3155, device='cuda:0')
tensor(0.4807, device='cuda:0')
tensor(0.1807, device='cuda:0')
tensor(1.3201, device='cuda:0')
tensor(0.1653, device='cuda:0')
tensor(0.1721, device='cuda:0')
tensor(0.2644, device='cuda:0')
tensor(0.3427, device='cuda:0')
tensor(0.2803, device='cuda:0')
tensor(0.2407, device='cuda:0')
tensor(0.6524, device='cuda:0')
tensor(0.2429, device='cuda:0')
tensor(0.3901, device='cuda:0')
tensor(0.3188, device='cuda:0')
tensor(0.1724, device='cuda:0')
tensor(0.2204, device='cuda:0')
tensor(0.5175, device='cuda:0')
tensor(0.2271, device='cuda:0')
tensor(0.4638, device='cuda:0')
tensor(0.1081, device='cuda:0')
tensor(0.6172, device='cuda:0')
tensor(0.1497, device='cuda:0')
tensor(0.4960, device='cuda:0')
tensor(0.1589, device='cuda:0')
tensor(0.1668, device='cuda:0')
tensor(0.5397, device='cuda:0')
tensor(0.3300, device='cuda:0')
tensor(0.4764, device='cuda:0')
tensor(0.5990, device='cuda:0')
tensor(0.3853, device='cuda:0')
tensor(0.2762, device='cuda:0')
tensor(0.1718, device='cuda:0')
tensor(0.3471, device='cuda:0')
tensor(0.0607, device='cuda:0')
tensor(0.2241, device='cuda:0')
tensor(0.2648, device='cuda:0')
tensor(0.3990, device='cuda:0')
tensor(0.8294, device='cuda:0')
tensor(0.1913, device='cuda:0')
tensor(0.6365, device='cuda:0')
tensor(0.1478, device='cuda:0')
tensor(0.2007, device='cuda:0')
tensor(0.2297, device='cuda:0')
tensor(0.5044, device='cuda:0')
tensor(0.4847, device='cuda:0')
tensor(0.2913, device='cuda:0')
tensor(0.5168, device='cuda:0')
tensor(0.2258, device='cuda:0')
tensor(0.1017, device='cuda:0')
tensor(0.4583, device='cuda:0')
tensor(0.0903, device='cuda:0')
tensor(0.5983, device='cuda:0')
tensor(0.1958, device='cuda:0')
tensor(0.3747, device='cuda:0')
tensor(0.2136, device='cuda:0')
tensor(0.2801, device='cuda:0')
tensor(0.4389, device='cuda:0')
tensor(0.0982, device='cuda:0')
tensor(0.5536, device='cuda:0')
tensor(0.1350, device='cuda:0')
tensor(0.2104, device='cuda:0')
tensor(0.5232, device='cuda:0')
tensor(0.5347, device='cuda:0')
tensor(0.3444, device='cuda:0')
tensor(0.0989, device='cuda:0')
tensor(0.4884, device='cuda:0')
tensor(0.5057, device='cuda:0')
tensor(0.3474, device='cuda:0')
tensor(0.1543, device='cuda:0')
tensor(0.6232, device='cuda:0')
tensor(0.3009, device='cuda:0')
tensor(0.7402, device='cuda:0')
tensor(1.0079, device='cuda:0')
tensor(0.1644, device='cuda:0')
tensor(0.3492, device='cuda:0')
tensor(0.4896, device='cuda:0')
tensor(0.3769, device='cuda:0')
tensor(0.1075, device='cuda:0')
tensor(0.2640, device='cuda:0')
tensor(0.2931, device='cuda:0')
tensor(0.1764, device='cuda:0')
tensor(0.2951, device='cuda:0')
tensor(0.1487, device='cuda:0')
tensor(0.1808, device='cuda:0')
tensor(0.2056, device='cuda:0')
tensor(0.4398, device='cuda:0')
tensor(0.5182, device='cuda:0')
tensor(0.7280, device='cuda:0')
tensor(0.3555, device='cuda:0')
tensor(0.5613, device='cuda:0')
tensor(0.4912, device='cuda:0')
tensor(0.3515, device='cuda:0')
tensor(0.7635, device='cuda:0')
tensor(0.1484, device='cuda:0')
tensor(0.2097, device='cuda:0')
tensor(0.5360, device='cuda:0')
tensor(0.1262, device='cuda:0')
tensor(0.5268, device='cuda:0')
tensor(0.5515, device='cuda:0')
tensor(0.4726, device='cuda:0')
tensor(0.3464, device='cuda:0')
tensor(0.1902, device='cuda:0')
tensor(0.2441, device='cuda:0')
tensor(0.2208, device='cuda:0')
tensor(0.2282, device='cuda:0')
tensor(0.3125, device='cuda:0')
tensor(0.3239, device='cuda:0')
tensor(0.5901, device='cuda:0')
tensor(0.1643, device='cuda:0')
tensor(0.1777, device='cuda:0')
tensor(0.0399, device='cuda:0')
tensor(0.2451, device='cuda:0')
tensor(0.3523, device='cuda:0')
tensor(0.2595, device='cuda:0')
tensor(0.3672, device='cuda:0')
tensor(0.3331, device='cuda:0')
tensor(0.0927, device='cuda:0')
tensor(0.5531, device='cuda:0')
tensor(0.4380, device='cuda:0')
tensor(0.8295, device='cuda:0')
tensor(0.6072, device='cuda:0')
tensor(0.6340, device='cuda:0')
tensor(0.4540, device='cuda:0')
tensor(0.1845, device='cuda:0')
tensor(0.1841, device='cuda:0')
tensor(0.1277, device='cuda:0')
tensor(0.3040, device='cuda:0')
tensor(0.9930, device='cuda:0')
tensor(0.4721, device='cuda:0')
tensor(0.1341, device='cuda:0')
tensor(0.2894, device='cuda:0')
tensor(0.1004, device='cuda:0')
tensor(0.4315, device='cuda:0')
tensor(0.6727, device='cuda:0')
tensor(0.0823, device='cuda:0')
tensor(0.9722, device='cuda:0')
tensor(1.0989, device='cuda:0')
tensor(0.2044, device='cuda:0')
tensor(0.2579, device='cuda:0')
tensor(0.3823, device='cuda:0')
tensor(0.1720, device='cuda:0')
tensor(0.6408, device='cuda:0')
tensor(0.5240, device='cuda:0')
tensor(0.4707, device='cuda:0')
tensor(0.1689, device='cuda:0')
tensor(0.1354, device='cuda:0')
tensor(0.3842, device='cuda:0')
tensor(0.0735, device='cuda:0')
tensor(0.1112, device='cuda:0')
tensor(0.3820, device='cuda:0')
tensor(0.1772, device='cuda:0')
tensor(0.1631, device='cuda:0')
tensor(0.2633, device='cuda:0')
tensor(1.5201, device='cuda:0')
tensor(0.4037, device='cuda:0')
tensor(0.8409, device='cuda:0')
tensor(0.2514, device='cuda:0')
tensor(0.0460, device='cuda:0')
tensor(0.2953, device='cuda:0')
tensor(0.6487, device='cuda:0')
tensor(0.2381, device='cuda:0')
tensor(0.1943, device='cuda:0')
tensor(0.1979, device='cuda:0')
tensor(0.2411, device='cuda:0')
tensor(0.1364, device='cuda:0')
tensor(0.4696, device='cuda:0')
tensor(0.0792, device='cuda:0')
tensor(0.1608, device='cuda:0')
tensor(0.4975, device='cuda:0')
tensor(0.4363, device='cuda:0')
tensor(0.7067, device='cuda:0')
tensor(0.3259, device='cuda:0')
tensor(0.6747, device='cuda:0')
tensor(0.2713, device='cuda:0')
tensor(0.3539, device='cuda:0')
tensor(0.3160, device='cuda:0')
tensor(0.2233, device='cuda:0')
tensor(0.3755, device='cuda:0')
tensor(0.8272, device='cuda:0')
tensor(0.2889, device='cuda:0')
tensor(0.4457, device='cuda:0')
tensor(0.1742, device='cuda:0')
tensor(0.4301, device='cuda:0')
tensor(0.2481, device='cuda:0')
tensor(0.3110, device='cuda:0')
tensor(0.5033, device='cuda:0')
tensor(0.4120, device='cuda:0')
tensor(0.3605, device='cuda:0')
tensor(0.2449, device='cuda:0')
tensor(0.1563, device='cuda:0')
tensor(0.0840, device='cuda:0')
tensor(0.3660, device='cuda:0')
tensor(0.4870, device='cuda:0')
tensor(0.2353, device='cuda:0')
tensor(0.3228, device='cuda:0')
tensor(0.1383, device='cuda:0')
tensor(1.1928, device='cuda:0')
tensor(0.1681, device='cuda:0')
tensor(0.3491, device='cuda:0')
tensor(0.3981, device='cuda:0')
tensor(0.2120, device='cuda:0')
tensor(0.2036, device='cuda:0')
tensor(0.6542, device='cuda:0')
tensor(0.1479, device='cuda:0')
tensor(0.1992, device='cuda:0')
tensor(0.2908, device='cuda:0')
tensor(0.0845, device='cuda:0')
tensor(0.2466, device='cuda:0')
tensor(0.4286, device='cuda:0')
tensor(0.7938, device='cuda:0')
tensor(0.2155, device='cuda:0')
tensor(0.1003, device='cuda:0')
tensor(0.1739, device='cuda:0')
tensor(0.4986, device='cuda:0')
tensor(0.0523, device='cuda:0')
tensor(0.5530, device='cuda:0')
tensor(0.1028, device='cuda:0')
tensor(0.6384, device='cuda:0')
tensor(0.0605, device='cuda:0')
tensor(1.0482, device='cuda:0')
tensor(0.5557, device='cuda:0')
tensor(0.6910, device='cuda:0')
tensor(0.7542, device='cuda:0')
tensor(0.2957, device='cuda:0')
tensor(0.3959, device='cuda:0')
tensor(0.3656, device='cuda:0')
tensor(0.3363, device='cuda:0')
tensor(0.9319, device='cuda:0')
tensor(0.6173, device='cuda:0')
tensor(0.4069, device='cuda:0')
tensor(0.2594, device='cuda:0')
tensor(0.5055, device='cuda:0')
tensor(0.4229, device='cuda:0')
tensor(0.1772, device='cuda:0')
tensor(0.2455, device='cuda:0')
tensor(0.2602, device='cuda:0')
tensor(0.1888, device='cuda:0')
tensor(0.1621, device='cuda:0')
tensor(0.3599, device='cuda:0')
tensor(0.3017, device='cuda:0')
tensor(0.4646, device='cuda:0')
tensor(0.4080, device='cuda:0')
tensor(0.2592, device='cuda:0')
tensor(1.0288, device='cuda:0')
tensor(0.2654, device='cuda:0')
