tensor(0.2066, device='cuda:0')
tensor(0.2082, device='cuda:0')
tensor(0.2085, device='cuda:0')
tensor(0.2097, device='cuda:0')
tensor(0.2125, device='cuda:0')
tensor(0.2050, device='cuda:0')
tensor(0.2127, device='cuda:0')
tensor(0.1945, device='cuda:0')
tensor(0.1897, device='cuda:0')
tensor(0.1986, device='cuda:0')
tensor(0.1639, device='cuda:0')
tensor(0.1630, device='cuda:0')
tensor(0.1616, device='cuda:0')
tensor(0.1943, device='cuda:0')
tensor(0.1623, device='cuda:0')
tensor(0.1827, device='cuda:0')
tensor(0.1747, device='cuda:0')
tensor(0.1589, device='cuda:0')
tensor(0.1592, device='cuda:0')
tensor(0.1616, device='cuda:0')
tensor(0.1743, device='cuda:0')
tensor(0.1548, device='cuda:0')
tensor(0.1636, device='cuda:0')
tensor(0.1634, device='cuda:0')
tensor(0.1567, device='cuda:0')
tensor(0.1563, device='cuda:0')
tensor(0.1430, device='cuda:0')
tensor(0.1626, device='cuda:0')
tensor(0.1445, device='cuda:0')
tensor(0.1687, device='cuda:0')
tensor(0.1528, device='cuda:0')
tensor(0.1493, device='cuda:0')
tensor(0.1726, device='cuda:0')
tensor(0.1615, device='cuda:0')
tensor(0.1444, device='cuda:0')
tensor(0.1604, device='cuda:0')
tensor(0.1470, device='cuda:0')
tensor(0.1487, device='cuda:0')
tensor(0.1524, device='cuda:0')
tensor(0.1496, device='cuda:0')
tensor(0.1505, device='cuda:0')
tensor(0.1563, device='cuda:0')
tensor(0.1367, device='cuda:0')
tensor(0.1530, device='cuda:0')
tensor(0.1498, device='cuda:0')
tensor(0.1666, device='cuda:0')
tensor(0.1483, device='cuda:0')
tensor(0.1389, device='cuda:0')
tensor(0.1454, device='cuda:0')
tensor(0.1518, device='cuda:0')
tensor(0.1419, device='cuda:0')
tensor(0.1543, device='cuda:0')
tensor(0.1699, device='cuda:0')
tensor(0.1469, device='cuda:0')
tensor(0.1562, device='cuda:0')
tensor(0.1552, device='cuda:0')
tensor(0.1552, device='cuda:0')
tensor(0.1600, device='cuda:0')
tensor(0.1588, device='cuda:0')
tensor(0.1510, device='cuda:0')
tensor(0.1513, device='cuda:0')
tensor(0.1628, device='cuda:0')
tensor(0.1375, device='cuda:0')
tensor(0.1553, device='cuda:0')
tensor(0.1553, device='cuda:0')
tensor(0.1458, device='cuda:0')
tensor(0.1351, device='cuda:0')
tensor(0.1555, device='cuda:0')
tensor(0.1388, device='cuda:0')
tensor(0.1447, device='cuda:0')
tensor(0.1433, device='cuda:0')
tensor(0.1543, device='cuda:0')
tensor(0.1520, device='cuda:0')
tensor(0.1388, device='cuda:0')
tensor(0.1479, device='cuda:0')
tensor(0.1457, device='cuda:0')
tensor(0.1585, device='cuda:0')
tensor(0.1507, device='cuda:0')
tensor(0.1548, device='cuda:0')
tensor(0.1591, device='cuda:0')
tensor(0.1588, device='cuda:0')
tensor(0.1333, device='cuda:0')
tensor(0.1301, device='cuda:0')
tensor(0.1424, device='cuda:0')
tensor(0.1468, device='cuda:0')
tensor(0.1607, device='cuda:0')
tensor(0.1477, device='cuda:0')
tensor(0.1599, device='cuda:0')
tensor(0.1567, device='cuda:0')
tensor(0.1502, device='cuda:0')
tensor(0.1502, device='cuda:0')
tensor(0.1498, device='cuda:0')
tensor(0.1393, device='cuda:0')
tensor(0.1492, device='cuda:0')
tensor(0.1500, device='cuda:0')
tensor(0.1437, device='cuda:0')
tensor(0.1273, device='cuda:0')
tensor(0.1499, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1481, device='cuda:0')
tensor(0.1589, device='cuda:0')
tensor(0.1413, device='cuda:0')
tensor(0.1474, device='cuda:0')
tensor(0.1603, device='cuda:0')
tensor(0.1530, device='cuda:0')
tensor(0.1626, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.1513, device='cuda:0')
tensor(0.1415, device='cuda:0')
tensor(0.1453, device='cuda:0')
tensor(0.1450, device='cuda:0')
tensor(0.1437, device='cuda:0')
tensor(0.1348, device='cuda:0')
tensor(0.1422, device='cuda:0')
tensor(0.1373, device='cuda:0')
tensor(0.1466, device='cuda:0')
tensor(0.1481, device='cuda:0')
tensor(0.1345, device='cuda:0')
tensor(0.1491, device='cuda:0')
tensor(0.1383, device='cuda:0')
tensor(0.1483, device='cuda:0')
tensor(0.1396, device='cuda:0')
tensor(0.1608, device='cuda:0')
tensor(0.1571, device='cuda:0')
tensor(0.1606, device='cuda:0')
tensor(0.1622, device='cuda:0')
tensor(0.1524, device='cuda:0')
tensor(0.1437, device='cuda:0')
tensor(0.1449, device='cuda:0')
tensor(0.1500, device='cuda:0')
tensor(0.1404, device='cuda:0')
tensor(0.1520, device='cuda:0')
tensor(0.1594, device='cuda:0')
tensor(0.1569, device='cuda:0')
tensor(0.1371, device='cuda:0')
tensor(0.1460, device='cuda:0')
tensor(0.1532, device='cuda:0')
tensor(0.1520, device='cuda:0')
tensor(0.1493, device='cuda:0')
tensor(0.1451, device='cuda:0')
tensor(0.1417, device='cuda:0')
tensor(0.1397, device='cuda:0')
tensor(0.1431, device='cuda:0')
tensor(0.1348, device='cuda:0')
tensor(0.1436, device='cuda:0')
tensor(0.1352, device='cuda:0')
tensor(0.1526, device='cuda:0')
tensor(0.1518, device='cuda:0')
tensor(0.1506, device='cuda:0')
tensor(0.1404, device='cuda:0')
tensor(0.1552, device='cuda:0')
tensor(0.1582, device='cuda:0')
tensor(0.1428, device='cuda:0')
tensor(0.1423, device='cuda:0')
tensor(0.1463, device='cuda:0')
tensor(0.1642, device='cuda:0')
tensor(0.1552, device='cuda:0')
tensor(0.1477, device='cuda:0')
tensor(0.1451, device='cuda:0')
tensor(0.1434, device='cuda:0')
tensor(0.1398, device='cuda:0')
tensor(0.1520, device='cuda:0')
tensor(0.1400, device='cuda:0')
tensor(0.1588, device='cuda:0')
tensor(0.1673, device='cuda:0')
tensor(0.1394, device='cuda:0')
tensor(0.1363, device='cuda:0')
tensor(0.1363, device='cuda:0')
tensor(0.1381, device='cuda:0')
tensor(0.1407, device='cuda:0')
tensor(0.1723, device='cuda:0')
tensor(0.1604, device='cuda:0')
tensor(0.1603, device='cuda:0')
tensor(0.1436, device='cuda:0')
tensor(0.1490, device='cuda:0')
tensor(0.1655, device='cuda:0')
tensor(0.1574, device='cuda:0')
tensor(0.1559, device='cuda:0')
tensor(0.1544, device='cuda:0')
tensor(0.1601, device='cuda:0')
tensor(0.1649, device='cuda:0')
tensor(0.1374, device='cuda:0')
tensor(0.1406, device='cuda:0')
tensor(0.1434, device='cuda:0')
tensor(0.1465, device='cuda:0')
tensor(0.1640, device='cuda:0')
tensor(0.1588, device='cuda:0')
tensor(0.1421, device='cuda:0')
tensor(0.1492, device='cuda:0')
tensor(0.1474, device='cuda:0')
tensor(0.1439, device='cuda:0')
tensor(0.1442, device='cuda:0')
tensor(0.1513, device='cuda:0')
tensor(0.1578, device='cuda:0')
tensor(0.1346, device='cuda:0')
tensor(0.1472, device='cuda:0')
tensor(0.1429, device='cuda:0')
tensor(0.1351, device='cuda:0')
tensor(0.1435, device='cuda:0')
tensor(0.1402, device='cuda:0')
tensor(0.1513, device='cuda:0')
tensor(0.1354, device='cuda:0')
tensor(0.1471, device='cuda:0')
tensor(0.1439, device='cuda:0')
tensor(0.1598, device='cuda:0')
tensor(0.1418, device='cuda:0')
tensor(0.1482, device='cuda:0')
tensor(0.1599, device='cuda:0')
tensor(0.1377, device='cuda:0')
tensor(0.1385, device='cuda:0')
tensor(0.1430, device='cuda:0')
tensor(0.1580, device='cuda:0')
tensor(0.1376, device='cuda:0')
tensor(0.1403, device='cuda:0')
tensor(0.1480, device='cuda:0')
tensor(0.1486, device='cuda:0')
tensor(0.1470, device='cuda:0')
tensor(0.1520, device='cuda:0')
tensor(0.1565, device='cuda:0')
tensor(0.1523, device='cuda:0')
tensor(0.1423, device='cuda:0')
tensor(0.1390, device='cuda:0')
tensor(0.1497, device='cuda:0')
tensor(0.1346, device='cuda:0')
tensor(0.1499, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.1526, device='cuda:0')
tensor(0.1466, device='cuda:0')
tensor(0.1471, device='cuda:0')
tensor(0.1414, device='cuda:0')
tensor(0.1599, device='cuda:0')
tensor(0.1598, device='cuda:0')
tensor(0.1441, device='cuda:0')
tensor(0.1583, device='cuda:0')
tensor(0.1478, device='cuda:0')
tensor(0.1487, device='cuda:0')
tensor(0.1470, device='cuda:0')
tensor(0.1551, device='cuda:0')
tensor(0.1441, device='cuda:0')
tensor(0.1555, device='cuda:0')
tensor(0.1388, device='cuda:0')
tensor(0.1501, device='cuda:0')
tensor(0.1525, device='cuda:0')
tensor(0.1538, device='cuda:0')
tensor(0.1445, device='cuda:0')
tensor(0.1578, device='cuda:0')
tensor(0.1461, device='cuda:0')
tensor(0.1414, device='cuda:0')
tensor(0.1248, device='cuda:0')
tensor(0.1666, device='cuda:0')
tensor(0.1529, device='cuda:0')
tensor(0.1529, device='cuda:0')
tensor(0.1403, device='cuda:0')
tensor(0.1578, device='cuda:0')
tensor(0.1408, device='cuda:0')
tensor(0.1357, device='cuda:0')
tensor(0.1620, device='cuda:0')
tensor(0.1638, device='cuda:0')
tensor(0.1456, device='cuda:0')
tensor(0.1552, device='cuda:0')
tensor(0.1563, device='cuda:0')
tensor(0.1472, device='cuda:0')
tensor(0.1296, device='cuda:0')
tensor(0.1477, device='cuda:0')
tensor(0.1450, device='cuda:0')
tensor(0.1446, device='cuda:0')
tensor(0.1534, device='cuda:0')
tensor(0.1534, device='cuda:0')
tensor(0.1716, device='cuda:0')
tensor(0.1534, device='cuda:0')
tensor(0.1438, device='cuda:0')
tensor(0.1584, device='cuda:0')
tensor(0.1344, device='cuda:0')
tensor(0.1602, device='cuda:0')
tensor(0.1399, device='cuda:0')
tensor(0.1471, device='cuda:0')
tensor(0.1586, device='cuda:0')
tensor(0.1530, device='cuda:0')
tensor(0.1508, device='cuda:0')
tensor(0.1558, device='cuda:0')
tensor(0.1507, device='cuda:0')
tensor(0.1549, device='cuda:0')
tensor(0.1414, device='cuda:0')
tensor(0.1546, device='cuda:0')
tensor(0.1467, device='cuda:0')
tensor(0.1602, device='cuda:0')
tensor(0.1528, device='cuda:0')
tensor(0.1437, device='cuda:0')
tensor(0.1393, device='cuda:0')
tensor(0.1584, device='cuda:0')
tensor(0.1439, device='cuda:0')
tensor(0.1576, device='cuda:0')
tensor(0.1435, device='cuda:0')
tensor(0.1355, device='cuda:0')
tensor(0.1469, device='cuda:0')
tensor(0.1528, device='cuda:0')
tensor(0.1388, device='cuda:0')
tensor(0.1457, device='cuda:0')
tensor(0.1449, device='cuda:0')
tensor(0.1648, device='cuda:0')
tensor(0.1394, device='cuda:0')
tensor(0.1489, device='cuda:0')
tensor(0.1399, device='cuda:0')
tensor(0.1530, device='cuda:0')
tensor(0.1478, device='cuda:0')
tensor(0.1409, device='cuda:0')
tensor(0.1532, device='cuda:0')
tensor(0.1538, device='cuda:0')
tensor(0.1426, device='cuda:0')
tensor(0.1568, device='cuda:0')
tensor(0.1534, device='cuda:0')
tensor(0.1546, device='cuda:0')
tensor(0.1372, device='cuda:0')
tensor(0.1475, device='cuda:0')
tensor(0.1402, device='cuda:0')
tensor(0.1403, device='cuda:0')
tensor(0.1525, device='cuda:0')
tensor(0.1639, device='cuda:0')
tensor(0.1622, device='cuda:0')
tensor(0.1498, device='cuda:0')
tensor(0.1561, device='cuda:0')
tensor(0.1461, device='cuda:0')
tensor(0.1500, device='cuda:0')
