tensor(0.5470, device='cuda:0')
tensor(0.2640, device='cuda:0')
tensor(0.3109, device='cuda:0')
tensor(0.1031, device='cuda:0')
tensor(0.2579, device='cuda:0')
tensor(0.3105, device='cuda:0')
tensor(0.1657, device='cuda:0')
tensor(0.2474, device='cuda:0')
tensor(0.3472, device='cuda:0')
tensor(0.6802, device='cuda:0')
tensor(0.1641, device='cuda:0')
tensor(0.1315, device='cuda:0')
tensor(0.1110, device='cuda:0')
tensor(0.3868, device='cuda:0')
tensor(0.2635, device='cuda:0')
tensor(0.0586, device='cuda:0')
tensor(0.1965, device='cuda:0')
tensor(0.6446, device='cuda:0')
tensor(0.1408, device='cuda:0')
tensor(0.5350, device='cuda:0')
tensor(0.1129, device='cuda:0')
tensor(0.2561, device='cuda:0')
tensor(0.1310, device='cuda:0')
tensor(0.1955, device='cuda:0')
tensor(0.0738, device='cuda:0')
tensor(0.5740, device='cuda:0')
tensor(0.2262, device='cuda:0')
tensor(0.3172, device='cuda:0')
tensor(0.3340, device='cuda:0')
tensor(0.1237, device='cuda:0')
tensor(0.0878, device='cuda:0')
tensor(0.4000, device='cuda:0')
tensor(0.4409, device='cuda:0')
tensor(0.0427, device='cuda:0')
tensor(0.1192, device='cuda:0')
tensor(0.0595, device='cuda:0')
tensor(0.3796, device='cuda:0')
tensor(0.1310, device='cuda:0')
tensor(0.2959, device='cuda:0')
tensor(0.2612, device='cuda:0')
tensor(0.1977, device='cuda:0')
tensor(0.0117, device='cuda:0')
tensor(0.2087, device='cuda:0')
tensor(0.0850, device='cuda:0')
tensor(0.1820, device='cuda:0')
tensor(0.0586, device='cuda:0')
tensor(0.1928, device='cuda:0')
tensor(0.3527, device='cuda:0')
tensor(0.0731, device='cuda:0')
tensor(0.2598, device='cuda:0')
tensor(0.3333, device='cuda:0')
tensor(0.3580, device='cuda:0')
tensor(0.2761, device='cuda:0')
tensor(0.0815, device='cuda:0')
tensor(0.3011, device='cuda:0')
tensor(0.1476, device='cuda:0')
tensor(0.4051, device='cuda:0')
tensor(0.4587, device='cuda:0')
tensor(0.1096, device='cuda:0')
tensor(0.1605, device='cuda:0')
tensor(0.1225, device='cuda:0')
tensor(0.7706, device='cuda:0')
tensor(0.4974, device='cuda:0')
tensor(0.6652, device='cuda:0')
tensor(0.1909, device='cuda:0')
tensor(0.3254, device='cuda:0')
tensor(0.4228, device='cuda:0')
tensor(0.0574, device='cuda:0')
tensor(0.3713, device='cuda:0')
tensor(1.1984, device='cuda:0')
tensor(0.0997, device='cuda:0')
tensor(0.1930, device='cuda:0')
tensor(0.1305, device='cuda:0')
tensor(0.0906, device='cuda:0')
tensor(0.0430, device='cuda:0')
tensor(0.5987, device='cuda:0')
tensor(0.2195, device='cuda:0')
tensor(0.1537, device='cuda:0')
tensor(0.1906, device='cuda:0')
tensor(0.1780, device='cuda:0')
tensor(0.0807, device='cuda:0')
tensor(0.1653, device='cuda:0')
tensor(0.2429, device='cuda:0')
tensor(0.2127, device='cuda:0')
tensor(0.1245, device='cuda:0')
tensor(0.5047, device='cuda:0')
tensor(0.2041, device='cuda:0')
tensor(0.0554, device='cuda:0')
tensor(0.7662, device='cuda:0')
tensor(0.2852, device='cuda:0')
tensor(0.0958, device='cuda:0')
tensor(0.1690, device='cuda:0')
tensor(0.3116, device='cuda:0')
tensor(0.1313, device='cuda:0')
tensor(0.8122, device='cuda:0')
tensor(0.5157, device='cuda:0')
tensor(0.3470, device='cuda:0')
tensor(0.2416, device='cuda:0')
tensor(0.0771, device='cuda:0')
tensor(0.1396, device='cuda:0')
tensor(0.2878, device='cuda:0')
tensor(0.2389, device='cuda:0')
tensor(0.0248, device='cuda:0')
tensor(0.1650, device='cuda:0')
tensor(0.1485, device='cuda:0')
tensor(0.3089, device='cuda:0')
tensor(0.3951, device='cuda:0')
tensor(0.2151, device='cuda:0')
tensor(0.3408, device='cuda:0')
tensor(0.1584, device='cuda:0')
tensor(0.2118, device='cuda:0')
tensor(0.1303, device='cuda:0')
tensor(0.2372, device='cuda:0')
tensor(0.2506, device='cuda:0')
tensor(0.1231, device='cuda:0')
tensor(0.0945, device='cuda:0')
tensor(0.1508, device='cuda:0')
tensor(0.5694, device='cuda:0')
tensor(0.2121, device='cuda:0')
tensor(1.1320, device='cuda:0')
tensor(0.0261, device='cuda:0')
tensor(0.1802, device='cuda:0')
tensor(0.0646, device='cuda:0')
tensor(0.1699, device='cuda:0')
tensor(0.5132, device='cuda:0')
tensor(0.2405, device='cuda:0')
tensor(0.0395, device='cuda:0')
tensor(0.1986, device='cuda:0')
tensor(0.2762, device='cuda:0')
tensor(0.1118, device='cuda:0')
tensor(0.1984, device='cuda:0')
tensor(0.0466, device='cuda:0')
tensor(0.0061, device='cuda:0')
tensor(0.2641, device='cuda:0')
tensor(0.2918, device='cuda:0')
tensor(0.3453, device='cuda:0')
tensor(0.4007, device='cuda:0')
tensor(0.1710, device='cuda:0')
tensor(0.1486, device='cuda:0')
tensor(0.1391, device='cuda:0')
tensor(0.4919, device='cuda:0')
tensor(0.3175, device='cuda:0')
tensor(0.2027, device='cuda:0')
tensor(0.0263, device='cuda:0')
tensor(0.0503, device='cuda:0')
tensor(0.3699, device='cuda:0')
tensor(0.1209, device='cuda:0')
tensor(0.4286, device='cuda:0')
tensor(0.3000, device='cuda:0')
tensor(0.1365, device='cuda:0')
tensor(0.2233, device='cuda:0')
tensor(0.1205, device='cuda:0')
tensor(0.0997, device='cuda:0')
tensor(0.3445, device='cuda:0')
tensor(0.2637, device='cuda:0')
tensor(0.2592, device='cuda:0')
tensor(0.4235, device='cuda:0')
tensor(0.7270, device='cuda:0')
tensor(0.8333, device='cuda:0')
tensor(0.2081, device='cuda:0')
tensor(0.4171, device='cuda:0')
tensor(0.2299, device='cuda:0')
tensor(0.2309, device='cuda:0')
tensor(0.1286, device='cuda:0')
tensor(0.3766, device='cuda:0')
tensor(0.1764, device='cuda:0')
tensor(0.3838, device='cuda:0')
tensor(0.1468, device='cuda:0')
tensor(0.1318, device='cuda:0')
tensor(0.0936, device='cuda:0')
tensor(0.2909, device='cuda:0')
tensor(0.0162, device='cuda:0')
tensor(0.1908, device='cuda:0')
tensor(0.1659, device='cuda:0')
tensor(0.0452, device='cuda:0')
tensor(0.1806, device='cuda:0')
tensor(0.1666, device='cuda:0')
tensor(0.3986, device='cuda:0')
tensor(0.2569, device='cuda:0')
tensor(0.4076, device='cuda:0')
tensor(0.2983, device='cuda:0')
tensor(0.5466, device='cuda:0')
tensor(0.0660, device='cuda:0')
tensor(0.0909, device='cuda:0')
tensor(0.5441, device='cuda:0')
tensor(0.0593, device='cuda:0')
tensor(0.0972, device='cuda:0')
tensor(0.4215, device='cuda:0')
tensor(0.1850, device='cuda:0')
tensor(0.0375, device='cuda:0')
tensor(0.0600, device='cuda:0')
tensor(0.0669, device='cuda:0')
tensor(0.3858, device='cuda:0')
tensor(0.1121, device='cuda:0')
tensor(0.3399, device='cuda:0')
tensor(0.0224, device='cuda:0')
tensor(0.5703, device='cuda:0')
tensor(0.2957, device='cuda:0')
tensor(0.2384, device='cuda:0')
tensor(0.2366, device='cuda:0')
tensor(0.3561, device='cuda:0')
tensor(0.1528, device='cuda:0')
tensor(0.1467, device='cuda:0')
tensor(0.3887, device='cuda:0')
tensor(0.3717, device='cuda:0')
tensor(0.1118, device='cuda:0')
tensor(0.1944, device='cuda:0')
tensor(0.0526, device='cuda:0')
tensor(0.0910, device='cuda:0')
tensor(0.0114, device='cuda:0')
tensor(0.3128, device='cuda:0')
tensor(0.1380, device='cuda:0')
tensor(0.5371, device='cuda:0')
tensor(0.4498, device='cuda:0')
tensor(0.3500, device='cuda:0')
tensor(0.2289, device='cuda:0')
tensor(0.0792, device='cuda:0')
tensor(0.5066, device='cuda:0')
tensor(0.2603, device='cuda:0')
tensor(0.1831, device='cuda:0')
tensor(0.2846, device='cuda:0')
tensor(0.3869, device='cuda:0')
tensor(0.3102, device='cuda:0')
tensor(0.2836, device='cuda:0')
tensor(0.1525, device='cuda:0')
tensor(0.2411, device='cuda:0')
tensor(0.2605, device='cuda:0')
tensor(0.0793, device='cuda:0')
tensor(0.2325, device='cuda:0')
tensor(0.1982, device='cuda:0')
tensor(0.2638, device='cuda:0')
tensor(0.0589, device='cuda:0')
tensor(0.0358, device='cuda:0')
tensor(0.0250, device='cuda:0')
tensor(0.1080, device='cuda:0')
tensor(0.2937, device='cuda:0')
tensor(0.1296, device='cuda:0')
tensor(0.0727, device='cuda:0')
tensor(0.1317, device='cuda:0')
tensor(0.1321, device='cuda:0')
tensor(0.1868, device='cuda:0')
tensor(0.0419, device='cuda:0')
tensor(0.2620, device='cuda:0')
tensor(0.3244, device='cuda:0')
tensor(0.1620, device='cuda:0')
tensor(0.1395, device='cuda:0')
tensor(0.1244, device='cuda:0')
tensor(0.3893, device='cuda:0')
tensor(0.3823, device='cuda:0')
tensor(0.0831, device='cuda:0')
tensor(0.3696, device='cuda:0')
tensor(0.0465, device='cuda:0')
tensor(0.2430, device='cuda:0')
tensor(0.3716, device='cuda:0')
tensor(0.1889, device='cuda:0')
tensor(0.0390, device='cuda:0')
tensor(0.4146, device='cuda:0')
tensor(0.3720, device='cuda:0')
tensor(0.2607, device='cuda:0')
tensor(0.3292, device='cuda:0')
tensor(0.1816, device='cuda:0')
tensor(0.0919, device='cuda:0')
tensor(0.3163, device='cuda:0')
tensor(0.2995, device='cuda:0')
tensor(0.1580, device='cuda:0')
tensor(0.1037, device='cuda:0')
tensor(0.2544, device='cuda:0')
tensor(0.1089, device='cuda:0')
tensor(0.2007, device='cuda:0')
tensor(0.2377, device='cuda:0')
tensor(0.2766, device='cuda:0')
tensor(0.0629, device='cuda:0')
tensor(0.4460, device='cuda:0')
tensor(0.0645, device='cuda:0')
tensor(0.1362, device='cuda:0')
tensor(0.1930, device='cuda:0')
tensor(0.3494, device='cuda:0')
tensor(0.4988, device='cuda:0')
tensor(0.0322, device='cuda:0')
tensor(0.1712, device='cuda:0')
tensor(0.3113, device='cuda:0')
tensor(0.0215, device='cuda:0')
tensor(0.2435, device='cuda:0')
tensor(0.1552, device='cuda:0')
tensor(0.1095, device='cuda:0')
tensor(0.3580, device='cuda:0')
tensor(0.0548, device='cuda:0')
tensor(0.2313, device='cuda:0')
tensor(0.0640, device='cuda:0')
tensor(0.0854, device='cuda:0')
tensor(0.0948, device='cuda:0')
tensor(0.0769, device='cuda:0')
tensor(0.2010, device='cuda:0')
tensor(0.2289, device='cuda:0')
tensor(0.0880, device='cuda:0')
tensor(0.3501, device='cuda:0')
tensor(0.5477, device='cuda:0')
tensor(0.1896, device='cuda:0')
tensor(0.2477, device='cuda:0')
tensor(0.2217, device='cuda:0')
tensor(0.0725, device='cuda:0')
tensor(0.2446, device='cuda:0')
tensor(0.1107, device='cuda:0')
tensor(0.2862, device='cuda:0')
tensor(0.0999, device='cuda:0')
tensor(0.4888, device='cuda:0')
tensor(0.1324, device='cuda:0')
tensor(0.1984, device='cuda:0')
tensor(0.0252, device='cuda:0')
tensor(0.1614, device='cuda:0')
tensor(0.3897, device='cuda:0')
tensor(0.8292, device='cuda:0')
tensor(0.4473, device='cuda:0')
tensor(0.1823, device='cuda:0')
tensor(0.1627, device='cuda:0')
tensor(0.5977, device='cuda:0')
tensor(0.1887, device='cuda:0')
tensor(0.1325, device='cuda:0')
tensor(0.2639, device='cuda:0')
tensor(0.1055, device='cuda:0')
tensor(0.0589, device='cuda:0')
tensor(0.2801, device='cuda:0')
tensor(0.1274, device='cuda:0')
tensor(0.0271, device='cuda:0')
tensor(0.6523, device='cuda:0')
tensor(0.1873, device='cuda:0')
tensor(0.0885, device='cuda:0')
tensor(0.1673, device='cuda:0')
tensor(0.1676, device='cuda:0')
tensor(0.6112, device='cuda:0')
tensor(2.4854, device='cuda:0')
tensor(0.2134, device='cuda:0')
tensor(0.1943, device='cuda:0')
tensor(0.0897, device='cuda:0')
tensor(0.0775, device='cuda:0')
tensor(0.1125, device='cuda:0')
tensor(0.0825, device='cuda:0')
