[E: 0] 	loss: 3.417740  	avg_loss: 4.475909
[E: 0] 	loss: 1.863625  	avg_loss: 4.451722
[E: 0] 	loss: 1.479249  	avg_loss: 4.424451
[E: 0] 	loss: 3.451096  	avg_loss: 4.415602
[E: 0] 	loss: 4.402727  	avg_loss: 4.415487
[E: 0] 	loss: 4.474092  	avg_loss: 4.416010
[E: 0] 	loss: 3.893232  	avg_loss: 4.411384
[E: 0] 	loss: 2.782022  	avg_loss: 4.397091
[E: 0] 	loss: 1.338767  	avg_loss: 4.370496
[E: 0] 	loss: 0.803247  	avg_loss: 4.339745
[E: 0] 	loss: 5.134677  	avg_loss: 4.346539
[E: 0] 	loss: 4.165006  	avg_loss: 4.345000
[E: 0] 	loss: 0.970675  	avg_loss: 4.316645
[E: 0] 	loss: 2.366601  	avg_loss: 4.300395
[E: 0] 	loss: 2.239903  	avg_loss: 4.283365
[E: 0] 	loss: 3.336463  	avg_loss: 4.275604
[E: 0] 	loss: 0.945772  	avg_loss: 4.248532
[E: 0] 	loss: 3.385452  	avg_loss: 4.241572
[E: 0] 	loss: 2.439578  	avg_loss: 4.227157
[E: 0] 	loss: 3.030754  	avg_loss: 4.217661
[E: 0] 	loss: 1.260909  	avg_loss: 4.194380
[E: 0] 	loss: 2.494226  	avg_loss: 4.181097
[E: 0] 	loss: 0.830433  	avg_loss: 4.155123
[E: 0] 	loss: 2.483132  	avg_loss: 4.142262
[E: 0] 	loss: 1.520124  	avg_loss: 4.122245
[E: 0] 	loss: 1.272219  	avg_loss: 4.100655
[E: 0] 	loss: 2.194650  	avg_loss: 4.086324
[E: 0] 	loss: 0.750025  	avg_loss: 4.061425
[E: 0] 	loss: 9.126909  	avg_loss: 4.098948
[E: 0] 	loss: 2.674207  	avg_loss: 4.088471
[E: 0] 	loss: 5.074404  	avg_loss: 4.095668
[E: 0] 	loss: 1.017598  	avg_loss: 4.073363
[E: 0] 	loss: 5.960725  	avg_loss: 4.086941
[E: 0] 	loss: 3.355298  	avg_loss: 4.081715
[E: 0] 	loss: 5.742536  	avg_loss: 4.093494
[E: 0] 	loss: 1.027850  	avg_loss: 4.071905
[E: 0] 	loss: 1.184500  	avg_loss: 4.051713
[E: 0] 	loss: 0.802880  	avg_loss: 4.029152
[E: 0] 	loss: 5.822630  	avg_loss: 4.041521
[E: 0] 	loss: 5.584126  	avg_loss: 4.052086
[E: 0] 	loss: 7.067226  	avg_loss: 4.072598
[E: 0] 	loss: 1.023255  	avg_loss: 4.051994
[E: 0] 	loss: 1.162295  	avg_loss: 4.032600
[E: 0] 	loss: 5.638192  	avg_loss: 4.043303
[E: 0] 	loss: 3.680136  	avg_loss: 4.040898
[E: 0] 	loss: 5.531182  	avg_loss: 4.050703
[E: 0] 	loss: 1.784047  	avg_loss: 4.035888
[E: 0] 	loss: 1.879710  	avg_loss: 4.021887
[E: 0] 	loss: 3.746746  	avg_loss: 4.020112
[E: 0] 	loss: 1.146067  	avg_loss: 4.001688
[E: 0] 	loss: 0.917735  	avg_loss: 3.982046
[E: 0] 	loss: 4.956733  	avg_loss: 3.988214
[E: 0] 	loss: 4.707242  	avg_loss: 3.992736
[E: 0] 	loss: 1.034282  	avg_loss: 3.974246
[E: 0] 	loss: 1.121748  	avg_loss: 3.956529
[E: 0] 	loss: 1.714485  	avg_loss: 3.942689
[E: 0] 	loss: 1.296006  	avg_loss: 3.926452
[E: 0] 	loss: 1.723500  	avg_loss: 3.913019
[E: 0] 	loss: 2.118341  	avg_loss: 3.902142
[E: 0] 	loss: 1.850655  	avg_loss: 3.889784
[E: 0] 	loss: 2.595166  	avg_loss: 3.882032
[E: 0] 	loss: 1.086617  	avg_loss: 3.865392
[E: 0] 	loss: 2.387084  	avg_loss: 3.856645
[E: 0] 	loss: 1.221828  	avg_loss: 3.841146
[E: 0] 	loss: 1.478024  	avg_loss: 3.827327
[E: 0] 	loss: 0.932874  	avg_loss: 3.810498
[E: 0] 	loss: 2.342145  	avg_loss: 3.802011
[E: 0] 	loss: 4.386693  	avg_loss: 3.805371
[E: 0] 	loss: 2.916453  	avg_loss: 3.800292
[E: 0] 	loss: 1.433525  	avg_loss: 3.786844
[E: 0] 	loss: 1.883847  	avg_loss: 3.776093
[E: 0] 	loss: 2.273289  	avg_loss: 3.767650
[E: 0] 	loss: 2.599782  	avg_loss: 3.761126
[E: 0] 	loss: 1.212044  	avg_loss: 3.746964
[E: 0] 	loss: 2.655179  	avg_loss: 3.740932
[E: 0] 	loss: 1.711225  	avg_loss: 3.729780
[E: 0] 	loss: 2.153506  	avg_loss: 3.721166
[E: 0] 	loss: 1.050236  	avg_loss: 3.706650
[E: 0] 	loss: 2.646379  	avg_loss: 3.700919
[E: 0] 	loss: 2.313357  	avg_loss: 3.693459
[E: 0] 	loss: 0.984809  	avg_loss: 3.678974
[E: 0] 	loss: 1.154610  	avg_loss: 3.665547
[E: 0] 	loss: 1.038744  	avg_loss: 3.651648
[E: 0] 	loss: 1.301617  	avg_loss: 3.639280
[E: 0] 	loss: 1.557520  	avg_loss: 3.628381
[E: 0] 	loss: 1.018682  	avg_loss: 3.614789
[E: 0] 	loss: 3.540900  	avg_loss: 3.614405
[E: 0] 	loss: 2.527567  	avg_loss: 3.608803
[E: 0] 	loss: 3.449765  	avg_loss: 3.607988
[E: 0] 	loss: 2.566404  	avg_loss: 3.602674
[E: 0] 	loss: 1.390396  	avg_loss: 3.591444
[E: 0] 	loss: 3.482610  	avg_loss: 3.590894
[E: 0] 	loss: 4.271396  	avg_loss: 3.594314
[E: 0] 	loss: 4.868313  	avg_loss: 3.600683
[E: 0] 	loss: 3.884173  	avg_loss: 3.602094
[E: 0] 	loss: 4.147467  	avg_loss: 3.604794
[E: 0] 	loss: 2.750182  	avg_loss: 3.600584
[E: 0] 	loss: 0.966478  	avg_loss: 3.587672
[E: 0] 	loss: 1.188583  	avg_loss: 3.575969
[E: 0] 	loss: 1.074065  	avg_loss: 3.563823
[E: 0] 	loss: 1.025363  	avg_loss: 3.551560
[E: 0] 	loss: 2.796584  	avg_loss: 3.547931
[E: 0] 	loss: 3.419903  	avg_loss: 3.547318
[E: 0] 	loss: 1.002825  	avg_loss: 3.535202
[E: 0] 	loss: 1.985172  	avg_loss: 3.527856
[E: 0] 	loss: 2.081085  	avg_loss: 3.521031
[E: 0] 	loss: 5.534029  	avg_loss: 3.530482
[E: 0] 	loss: 1.071492  	avg_loss: 3.518991
[E: 0] 	loss: 3.079844  	avg_loss: 3.516948
[E: 0] 	loss: 5.999691  	avg_loss: 3.528443
[E: 0] 	loss: 7.434373  	avg_loss: 3.546443
[E: 0] 	loss: 4.280717  	avg_loss: 3.549810
[E: 0] 	loss: 0.975146  	avg_loss: 3.538054
[E: 0] 	loss: 4.509345  	avg_loss: 3.542469
[E: 0] 	loss: 4.912102  	avg_loss: 3.548667
[E: 0] 	loss: 3.105529  	avg_loss: 3.546670
[E: 0] 	loss: 3.340328  	avg_loss: 3.545745
[E: 0] 	loss: 1.957746  	avg_loss: 3.538656
[E: 0] 	loss: 1.198412  	avg_loss: 3.528255
[E: 0] 	loss: 1.568749  	avg_loss: 3.519584
[E: 0] 	loss: 1.512844  	avg_loss: 3.510744
[E: 0] 	loss: 0.952580  	avg_loss: 3.499524
[E: 0] 	loss: 2.002603  	avg_loss: 3.492987
[E: 0] 	loss: 0.985749  	avg_loss: 3.482086
[E: 0] 	loss: 5.533095  	avg_loss: 3.490965
[E: 0] 	loss: 6.604553  	avg_loss: 3.504386
[E: 0] 	loss: 0.993429  	avg_loss: 3.493609
[E: 0] 	loss: 4.464390  	avg_loss: 3.497758
[E: 0] 	loss: 6.789994  	avg_loss: 3.511767
[E: 0] 	loss: 1.589342  	avg_loss: 3.503622
[E: 0] 	loss: 1.220449  	avg_loss: 3.493988
[E: 0] 	loss: 1.478193  	avg_loss: 3.485518
[E: 0] 	loss: 1.056033  	avg_loss: 3.475353
[E: 0] 	loss: 1.024964  	avg_loss: 3.465143
[E: 0] 	loss: 1.456979  	avg_loss: 3.456810
[E: 0] 	loss: 1.016355  	avg_loss: 3.446726
[E: 0] 	loss: 2.699504  	avg_loss: 3.443651
[E: 0] 	loss: 1.822665  	avg_loss: 3.437007
[E: 0] 	loss: 4.274369  	avg_loss: 3.440425
[E: 0] 	loss: 3.840897  	avg_loss: 3.442053
[E: 0] 	loss: 2.896299  	avg_loss: 3.439844
[E: 0] 	loss: 1.013675  	avg_loss: 3.430061
[E: 0] 	loss: 0.982180  	avg_loss: 3.420230
[E: 0] 	loss: 1.057362  	avg_loss: 3.410779
[E: 0] 	loss: 1.029418  	avg_loss: 3.401291
[E: 0] 	loss: 2.242724  	avg_loss: 3.396694
[E: 0] 	loss: 1.146029  	avg_loss: 3.387798
[E: 0] 	loss: 0.968131  	avg_loss: 3.378272
[E: 0] 	loss: 1.003518  	avg_loss: 3.368959
[E: 0] 	loss: 0.982268  	avg_loss: 3.359636
[E: 0] 	loss: 3.256835  	avg_loss: 3.359236
[E: 0] 	loss: 2.545468  	avg_loss: 3.356082
[E: 0] 	loss: 2.368855  	avg_loss: 3.352270
[E: 0] 	loss: 2.176964  	avg_loss: 3.347749
[E: 0] 	loss: 1.756016  	avg_loss: 3.341651
[E: 0] 	loss: 1.155442  	avg_loss: 3.333307
[E: 0] 	loss: 1.285850  	avg_loss: 3.325521
[E: 0] 	loss: 1.602002  	avg_loss: 3.318993
[E: 0] 	loss: 1.959973  	avg_loss: 3.313865
[E: 0] 	loss: 1.678466  	avg_loss: 3.307717
[E: 0] 	loss: 2.604234  	avg_loss: 3.305082
[E: 0] 	loss: 1.275939  	avg_loss: 3.297510
[E: 0] 	loss: 1.632073  	avg_loss: 3.291319
[E: 0] 	loss: 1.596631  	avg_loss: 3.285043
[E: 0] 	loss: 1.031166  	avg_loss: 3.276726
[E: 0] 	loss: 0.941553  	avg_loss: 3.268141
[E: 0] 	loss: 1.156113  	avg_loss: 3.260404
[E: 0] 	loss: 1.605136  	avg_loss: 3.254363
[E: 0] 	loss: 1.465271  	avg_loss: 3.247857
[E: 0] 	loss: 1.293555  	avg_loss: 3.240777
[E: 0] 	loss: 1.003878  	avg_loss: 3.232701
[E: 0] 	loss: 1.131729  	avg_loss: 3.225144
[E: 0] 	loss: 2.178130  	avg_loss: 3.221391
[E: 0] 	loss: 1.015949  	avg_loss: 3.213514
[E: 0] 	loss: 1.365569  	avg_loss: 3.206938
[E: 0] 	loss: 0.979214  	avg_loss: 3.199038
[E: 0] 	loss: 1.618844  	avg_loss: 3.193454
[E: 0] 	loss: 1.577756  	avg_loss: 3.187765
[E: 0] 	loss: 1.111806  	avg_loss: 3.180481
[E: 0] 	loss: 1.015163  	avg_loss: 3.172910
[E: 0] 	loss: 1.954896  	avg_loss: 3.168666
[E: 0] 	loss: 1.069471  	avg_loss: 3.161377
[E: 0] 	loss: 1.762143  	avg_loss: 3.156536
[E: 0] 	loss: 1.928239  	avg_loss: 3.152300
[E: 0] 	loss: 0.966900  	avg_loss: 3.144790
[E: 0] 	loss: 1.304828  	avg_loss: 3.138489
[E: 0] 	loss: 1.279256  	avg_loss: 3.132143
[E: 0] 	loss: 1.028647  	avg_loss: 3.124988
[E: 0] 	loss: 1.239390  	avg_loss: 3.118597
[E: 0] 	loss: 1.154355  	avg_loss: 3.111961
[E: 0] 	loss: 1.208443  	avg_loss: 3.105551
[E: 0] 	loss: 1.140499  	avg_loss: 3.098957
[E: 0] 	loss: 0.998996  	avg_loss: 3.091934
[E: 0] 	loss: 1.344537  	avg_loss: 3.086109
[E: 0] 	loss: 1.314106  	avg_loss: 3.080222
[E: 0] 	loss: 1.288884  	avg_loss: 3.074291
[E: 0] 	loss: 1.064966  	avg_loss: 3.067659
[E: 0] 	loss: 1.201795  	avg_loss: 3.061522
[E: 0] 	loss: 1.413297  	avg_loss: 3.056117
[E: 0] 	loss: 1.354580  	avg_loss: 3.050557
[E: 0] 	loss: 1.499412  	avg_loss: 3.045504
[E: 0] 	loss: 1.379601  	avg_loss: 3.040095
[E: 0] 	loss: 1.274833  	avg_loss: 3.034382
[E: 0] 	loss: 1.327493  	avg_loss: 3.028876
[E: 0] 	loss: 1.359828  	avg_loss: 3.023510
[E: 0] 	loss: 0.984187  	avg_loss: 3.016973
[E: 0] 	loss: 1.057355  	avg_loss: 3.010712
[E: 0] 	loss: 1.096008  	avg_loss: 3.004615
[E: 0] 	loss: 1.214142  	avg_loss: 2.998931
[E: 0] 	loss: 1.110750  	avg_loss: 2.992955
[E: 0] 	loss: 1.428741  	avg_loss: 2.988021
[E: 0] 	loss: 1.140031  	avg_loss: 2.982209
[E: 0] 	loss: 0.950638  	avg_loss: 2.975841
[E: 0] 	loss: 1.064720  	avg_loss: 2.969869
[E: 0] 	loss: 1.247112  	avg_loss: 2.964502
[E: 0] 	loss: 1.048490  	avg_loss: 2.958551
[E: 0] 	loss: 1.070012  	avg_loss: 2.952704
[E: 0] 	loss: 1.014193  	avg_loss: 2.946722
[E: 0] 	loss: 1.123049  	avg_loss: 2.941110
[E: 0] 	loss: 1.707141  	avg_loss: 2.937325
[E: 0] 	loss: 1.154226  	avg_loss: 2.931872
[E: 0] 	loss: 1.080535  	avg_loss: 2.926228
[E: 0] 	loss: 1.258025  	avg_loss: 2.921157
[E: 0] 	loss: 1.247104  	avg_loss: 2.916084
[E: 0] 	loss: 1.023426  	avg_loss: 2.910367
[E: 0] 	loss: 1.632894  	avg_loss: 2.906518
[E: 0] 	loss: 0.987565  	avg_loss: 2.900756
[E: 0] 	loss: 1.105004  	avg_loss: 2.895380
[E: 0] 	loss: 0.977006  	avg_loss: 2.889653
[E: 0] 	loss: 1.384632  	avg_loss: 2.885174
[E: 0] 	loss: 1.608695  	avg_loss: 2.881386
[E: 0] 	loss: 1.433766  	avg_loss: 2.877103
Test losses: 2.315185
Test losses: 2.125760
Test losses: 1.087733
Test losses: 2.913523
Test losses: 2.338247
Test losses: 1.813579
Test losses: 5.240068
Test losses: 2.090144
Test losses: 8.383715
Test losses: 1.432198
Test losses: 4.414022
Test losses: 7.454327
Test losses: 4.057032
Test losses: 1.079600
Test losses: 2.568756
Test losses: 9.022110
Test losses: 2.962480
Test losses: 2.167844
Test losses: 5.976903
Test losses: 4.599555
